id	gloss	text
404	NEXT-WEEK PT_PRO1 CALL NEIGHBOUR	I will call my neighbour next week.
405	MORNING PT_PRO2 LISTEN MUSIC Q	Do you listen to music in the morning?
406	NIGHT PT_PRO1 SEE KEY	I see my keys at night.
407	LAST-WEEK PT_PRO3 NOT BUY KEY OFTEN	They did not buy my keys last week often.
408	TOMORROW PT_PRO1 CLEAN SOMETIMES Q	Will I clean tomorrow sometimes?
409	WHERE PT_PRO3 COME Q	Where Did they come last week?
410	TODAY MAN DRINK COFFEE	The man drinks coffee today.
411	NOW PT_PRO2 MEET NEIGHBOUR SLOW	You meet my neighbour now slowly.
412	NOW PT_PRO3 READ PHONE SOMETIMES	They read my phone now sometimes.
413	TODAY PT_PRO3 CAN CALL FRIEND Q	They can call my friend today?
414	TODAY PT_PRO2 GO SHOP	You go to the shop today.
415	YESTERDAY PT_PRO3 NOT WORK	They did not work yesterday.
416	TODAY PT_PRO1 GO CITY Q	Do I go to the city today?
417	AFTERNOON PT_PRO2 CALL MUM	You call my mum in the afternoon.
418	YESTERDAY CHILD COME HOME	The child came to home yesterday.
419	TOMORROW PT_PRO1 MUST PRACTISE Q	I must practise tomorrow?
420	WEEKEND MAN TRAIN	The man trains on the weekend.
421	YESTERDAY PT_PRO2 SLEEP	You slept yesterday.
422	LAST-WEEK PT_PRO1 NOT BUY CAR	I did not buy a car last week.
423	PT_PRO3 RUN SLOW Q	Do they run slowly?
424	MORNING PT_PRO1 NOT MEET DAD FAST	I do not meet my dad in the morning quickly.
425	MORNING PT_PRO1 NOT HELP TEACHER	I do not help my teacher in the morning.
426	LAST-WEEK WOMAN SICK	The woman was sick last week.
427	NIGHT PT_PRO1 SEE MONEY ALWAYS	I see money at night always.
428	NOW PT_PRO3 CALL COACH	They call my coach now.
429	MORNING PT_PRO3 RUN Q	Do they run in the morning?
430	NOW PT_PRO2 CAN DRINK JUICE	You can drink juice now.
431	AFTERNOON PT_PRO1 CALL FRIEND	I call my friend in the afternoon.
432	YESTERDAY STUDENT TRAIN	The student trained yesterday.
433	TODAY PT_PRO1 TEXT COACH Q	Do I text my coach today?
434	WHERE NEIGHBOUR GO Q	Where Does the neighbour go in the afternoon?
435	WEEKEND PT_PRO1 TEXT DAD	I text my dad on the weekend.
436	WEEKEND PT_PRO2 NOT COME HOME	You do not come to home on the weekend.
437	TODAY PT_PRO2 CAN CALL COACH	You can call my coach today.
438	NIGHT PT_PRO2 MUST WALK	You must walk at night.
439	NOW PT_PRO1 NOT MEET DAD	I do not meet my dad now.
440	YESTERDAY TEACHER HELP NEIGHBOUR	The teacher helped my neighbour yesterday.
441	NIGHT DOCTOR NOT LISTEN PODCAST	The doctor does not listen to a podcast at night.
442	WHY PT_PRO1 WORK Q	Why Will I work tomorrow?
443	NOW COACH STUDY	The coach studies now.
444	TODAY CHILD WAKE-UP Q	Does the child wake up today?
445	NIGHT STUDENT BUSY	The student is busy at night.
446	NOW PT_PRO1 COME SCHOOL	I come to school now.
447	NEXT-WEEK PT_PRO2 MEET FRIEND	You will meet my friend next week.
448	YESTERDAY PT_PRO3 WATCH PODCAST Q	Did they watch a podcast yesterday?
449	NEXT-WEEK PT_PRO3 COME BEACH	They will come to the beach next week.
450	TOMORROW PT_PRO3 CAN SEE BAG SOMETIMES	They can see my bag tomorrow sometimes.
451	NOW PT_PRO2 WALK Q	Do you walk now?
452	NIGHT COACH TEXT FRIEND	The coach texts my friend at night.
453	WHY TEACHER GO Q	Why Did the teacher go yesterday?
454	LAST-WEEK PT_PRO2 NOT GO HOME	You did not go to home last week.
455	WEEKEND PT_PRO3 NOT MEET FRIEND	They do not meet my friend on the weekend.
456	TODAY PT_PRO3 DRINK COFFEE	They drink coffee today.
457	NIGHT PT_PRO1 NOT LISTEN PODCAST RARELY	I do not listen to a podcast at night rarely.
458	MORNING PT_PRO2 COME BEACH RARELY	You come to the beach in the morning rarely.
459	WEEKEND PT_PRO1 NOT EAT NOODLE	I do not eat noodles on the weekend.
460	LAST-WEEK PT_PRO1 TRAIN	I trained last week.
461	MORNING MAN WATCH PODCAST RARELY	The man watches a podcast in the morning rarely.
462	WHEN PT_PRO1 LISTEN MOVIE Q	When Do I listen in the afternoon?
463	WEEKEND PT_PRO3 NOT STUDY	They do not study on the weekend.
464	WEEKEND PT_PRO1 CAN WATCH MOVIE RARELY Q	I can watch a movie on the weekend rarely?
465	WHY PT_PRO2 TRAIN Q	Why Do you train today?
466	NIGHT PT_PRO1 NOT WATCH PODCAST	I do not watch a podcast at night.
467	WHAT TEACHER BUY Q	What Does the teacher buy?
468	LAST-WEEK PT_PRO2 EMAIL COACH	You emailed my coach last week.
469	MORNING CHILD COOK	The child cooks in the morning.
470	LAST-WEEK PT_PRO2 DRINK TEA	You drank tea last week.
471	TOMORROW PT_PRO2 NOT EAT RICE	You will not eat rice tomorrow.
472	LAST-WEEK MAN RUN	The man ran last week.
473	TOMORROW PT_PRO1 WANT EMAIL FRIEND OFTEN Q	I want to email my friend tomorrow often?
474	NEXT-WEEK PT_PRO2 COME BEACH Q	Will you come to the beach next week?
475	WHEN PT_PRO1 WORK Q	When Do I work?
476	LAST-WEEK COACH NOT SLEEP	The coach did not sleep last week.
477	WHAT TEACHER READ Q	What Does the teacher read?
478	NIGHT PT_PRO1 NOT DRINK JUICE	I do not drink juice at night.
479	AFTERNOON PT_PRO1 WANT NOT BUY MESSAGE	I do not want to buy a message in the afternoon.
480	WHEN PT_PRO1 MEET MUM Q	When Do I meet on the weekend?
481	NIGHT PT_PRO2 WANT EMAIL COACH	You want to email my coach at night.
482	NIGHT NEIGHBOUR LISTEN PODCAST	The neighbour listens to a podcast at night.
483	WEEKEND PT_PRO2 TEXT MUM SOMETIMES	You text my mum on the weekend sometimes.
484	YESTERDAY PT_PRO3 BUY BOOK OFTEN	They bought a book yesterday often.
485	PT_PRO3 CAN SLEEP	They can sleep.
486	PT_PRO3 PRACTISE	They practise.
487	YESTERDAY PT_PRO1 WORK	I worked yesterday.
488	TOMORROW PT_PRO1 COOK	I will cook tomorrow.
489	WHERE PT_PRO3 COME Q	Where Do they come today?
490	NEXT-WEEK PT_PRO2 TEXT DAD	You will text my dad next week.
491	TOMORROW PT_PRO1 EAT FOOD	I will eat food tomorrow.
492	TODAY PT_PRO1 PRACTISE	I practise today.
493	IF NOW PT_PRO2 GO CITY THEN PT_PRO2 BUSY	If you go to the city, then you are busy now.
494	NOW PT_PRO3 STUDY	They study now.
495	AFTERNOON PT_PRO3 COME PARK OFTEN	They come to the park in the afternoon often.
496	LAST-WEEK PT_PRO3 MEET COACH	They met my coach last week.
497	TOMORROW MAN WAKE-UP	The man will wake up tomorrow.
498	NOW NEIGHBOUR NOT WORK	The neighbour does not work now.
499	WEEKEND PT_PRO1 CAN NOT COOK OFTEN	I cannot cook on the weekend often.
500	TOMORROW FRIEND READ EMAIL ALWAYS	My friend will read an email tomorrow always.
501	YESTERDAY PT_PRO2 NOT SEE MONEY	You did not see money yesterday.
502	MORNING FRIEND LISTEN PODCAST	My friend listens to a podcast in the morning.
503	AFTERNOON TEACHER NOT WAKE-UP SOMETIMES	The teacher does not wake up in the afternoon sometimes.
504	NIGHT COACH PRACTISE	The coach practises at night.
505	YESTERDAY CHILD GO HOME	The child went to home yesterday.
506	TODAY PT_PRO2 WANT WAKE-UP	You want to wake up today.
507	TOMORROW PT_PRO1 READ MONEY	I will read money tomorrow.
508	MORNING PT_PRO2 WANT NOT RUN ALWAYS	You do not want to run in the morning always.
509	DOCTOR SLEEP FAST	The doctor sleeps quickly.
510	TODAY PT_PRO2 PRACTISE	You practise today.
511	NOW PT_PRO1 SLEEP SLOW	I sleep now slowly.
512	WHY PT_PRO2 STUDY Q	Why Do you study?
513	AFTERNOON PT_PRO1 NOT CLEAN	I do not clean in the afternoon.
514	AFTERNOON PT_PRO1 EAT FOOD	I eat food in the afternoon.
515	WHAT PT_PRO3 BUY Q	What Do they buy in the afternoon?
516	YESTERDAY PT_PRO3 TIRED	They were tired yesterday.
517	TOMORROW PT_PRO3 CLEAN	They will clean tomorrow.
518	YESTERDAY PT_PRO1 CLEAN	I cleaned yesterday.
519	MORNING PT_PRO3 SAD	They are sad in the morning.
520	COACH SLEEP	The coach sleeps.
521	MORNING PT_PRO3 GO BEACH	They go to the beach in the morning.
522	PT_PRO2 MEET COACH	You meet my coach.
523	WEEKEND DOCTOR STUDY	The doctor studies on the weekend.
524	TOMORROW PT_PRO2 RUN	You will run tomorrow.
525	TOMORROW PT_PRO2 NOT DRINK WATER	You will not drink water tomorrow.
526	TODAY CHILD STUDY	The child studies today.
527	YESTERDAY WOMAN EMAIL TEACHER	The woman emailed my teacher yesterday.
528	NOW PT_PRO3 SEE MONEY	They see money now.
529	WEEKEND PT_PRO1 BUSY	I am busy on the weekend.
530	IF PT_PRO3 WORK THEN PT_PRO3 GOOD	If they work, then they are good in the afternoon.
531	WHERE NEIGHBOUR GO Q	Where Does the neighbour go?
532	AFTERNOON CHILD SLEEP	The child sleeps in the afternoon.
533	WHERE PT_PRO3 GO Q	Where Will they go next week?
534	YESTERDAY PT_PRO3 WALK	They walked yesterday.
535	LAST-WEEK PT_PRO3 WAKE-UP	They woke up last week.
536	YESTERDAY PT_PRO3 READY	They were ready yesterday.
537	YESTERDAY PT_PRO2 NOT LISTEN PODCAST	You did not listen to a podcast yesterday.
538	YESTERDAY PT_PRO3 TEXT NEIGHBOUR	They texted my neighbour yesterday.
539	NEXT-WEEK PT_PRO2 SICK	You will be sick next week.
540	AFTERNOON COACH SEE BAG	The coach sees my bag in the afternoon.
541	WEEKEND CHILD GO PARK Q	Does the child go to the park on the weekend?
542	NIGHT DOCTOR EAT NOODLE	The doctor eats noodles at night.
543	CHILD TRAIN	The child trains.
544	TODAY CHILD NOT SEE EMAIL	The child does not see an email today.
545	MORNING PT_PRO3 COOK Q	Do they cook in the morning?
546	WHY COACH STUDY Q	Why Does the coach study on the weekend?
547	LAST-WEEK PT_PRO2 WORK	You worked last week.
548	AFTERNOON PT_PRO2 NOT CLEAN	You do not clean in the afternoon.
549	TODAY PT_PRO2 CLEAN	You clean today.
550	WHEN CHILD EAT NOODLE Q	When Will the child eat tomorrow?
551	NEXT-WEEK PT_PRO3 NOT COME GYM	They will not come to the gym next week.
552	YESTERDAY PT_PRO2 TEXT NEIGHBOUR RARELY Q	Did you text my neighbour yesterday rarely?
553	TODAY PT_PRO1 BUY BAG	I buy my bag today.
554	TODAY PT_PRO2 LISTEN PODCAST	You listen to a podcast today.
555	TODAY PT_PRO3 RUN	They run today.
556	TOMORROW PT_PRO2 NOT PRACTISE	You will not practise tomorrow.
557	NEXT-WEEK PT_PRO2 COME SHOP Q	Will you come to the shop next week?
558	IF MORNING PT_PRO3 WORK THEN PT_PRO3 HOT	If they work, then they are hot.
559	AFTERNOON PT_PRO3 DRINK JUICE	They drink juice in the afternoon.
560	AFTERNOON MAN RUN	The man runs in the afternoon.
561	TODAY WOMAN TEXT MUM SLOW Q	Does the woman text my mum today slowly?
562	TODAY PT_PRO3 NOT EAT NOODLE	They do not eat noodles today.
563	TOMORROW PT_PRO3 GO GYM ALWAYS	They will go to the gym tomorrow always.
564	LAST-WEEK CHILD NOT EAT APPLE	The child did not eat an apple last week.
565	WHEN PT_PRO2 WALK Q	When Do you walk now?
566	NEXT-WEEK PT_PRO3 CLEAN	They will clean next week.
567	WHO CHILD CALL Q	Who Does the child call?
568	MORNING PT_PRO1 CLEAN	I clean in the morning.
569	PT_PRO3 WANT SEE SHOES RARELY	They want to see shoes rarely.
570	WEEKEND NEIGHBOUR GO HOME	The neighbour goes to home on the weekend.
571	MORNING STUDENT READY	The student is ready in the morning.
572	WEEKEND PT_PRO3 EMAIL COACH	They email my coach on the weekend.
573	HOW PT_PRO2 CLEAN Q	How Will you clean tomorrow?
574	PT_PRO1 CALL MUM	I call my mum.
575	WHAT PT_PRO3 EAT Q	What Do they eat in the afternoon?
576	LAST-WEEK PT_PRO2 NOT BUY KEY	You did not buy my keys last week.
577	NIGHT PT_PRO2 BUY BOOK Q	Do you buy a book at night?
578	NIGHT PT_PRO3 NOT HELP DAD	They do not help my dad at night.
579	WHEN NEIGHBOUR LISTEN PODCAST Q	When Does the neighbour listen in the afternoon?
580	YESTERDAY PT_PRO3 NOT COME WORK	They did not come to work yesterday.
581	PT_PRO1 WANT EAT NOODLE RARELY	I want to eat noodles rarely.
582	MORNING PT_PRO3 CAN PRACTISE	They can practise in the morning.
583	MORNING PT_PRO1 MEET DAD	I meet my dad in the morning.
584	NIGHT DOCTOR EMAIL FRIEND FAST	The doctor emails my friend at night quickly.
585	NIGHT PT_PRO1 STUDY	I study at night.
586	IF PT_PRO1 STUDY THEN PT_PRO1 TIRED	If I study, then I am tired.
587	YESTERDAY WOMAN DRINK JUICE	The woman drank juice yesterday.
588	AFTERNOON PT_PRO2 NOT MEET DAD FAST	You do not meet my dad in the afternoon quickly.
589	NIGHT PT_PRO2 WATCH MOVIE	You watch a movie at night.
590	WHEN PT_PRO1 CLEAN Q	When Do I clean at night?
591	NOW PT_PRO1 BUY SHOES	I buy shoes now.
592	NIGHT PT_PRO2 LISTEN MUSIC	You listen to music at night.
593	LAST-WEEK PT_PRO3 TEXT TEACHER	They texted my teacher last week.
594	NIGHT PT_PRO2 WAKE-UP	You wake up at night.
595	AFTERNOON PT_PRO3 NOT WAKE-UP	They do not wake up in the afternoon.
596	NOW PT_PRO3 NOT COOK SOMETIMES	They do not cook now sometimes.
597	NOW NEIGHBOUR EAT APPLE	The neighbour eats an apple now.
598	YESTERDAY PT_PRO3 GO SCHOOL SOMETIMES	They went to school yesterday sometimes.
599	YESTERDAY STUDENT HELP FRIEND	The student helped my friend yesterday.
600	HOW CHILD WALK Q	How Does the child walk?
601	NEXT-WEEK PT_PRO3 SEE KEY	They will see my keys next week.
602	NOW PT_PRO3 NOT COOK	They do not cook now.
603	PT_PRO2 NOT EMAIL NEIGHBOUR	You do not email my neighbour.
604	YESTERDAY PT_PRO3 SLEEP FAST	They slept yesterday quickly.
605	TOMORROW PT_PRO2 TEXT MUM	You will text my mum tomorrow.
606	NOW FRIEND CLEAN SOMETIMES Q	Does my friend clean now sometimes?
607	LAST-WEEK PT_PRO1 LISTEN MUSIC	I listened to music last week.
608	AFTERNOON PT_PRO1 STUDY	I study in the afternoon.
609	PT_PRO1 CLEAN Q	Do I clean?
610	NIGHT PT_PRO1 SEE KEY SOMETIMES	I see my keys at night sometimes.
611	WHERE PT_PRO3 GO Q	Where Will they go tomorrow?
612	NIGHT MAN BUY MONEY ALWAYS	The man buys money at night always.
613	TODAY PT_PRO1 RUN Q	Do I run today?
614	WEEKEND NEIGHBOUR COME BEACH	The neighbour comes to the beach on the weekend.
615	AFTERNOON PT_PRO3 RUN FAST Q	Do they run in the afternoon quickly?
616	NEXT-WEEK PT_PRO3 WATCH MUSIC Q	Will they watch music next week?
617	MORNING PT_PRO2 NOT GO CITY	You do not go to the city in the morning.
618	PT_PRO2 MEET FRIEND	You meet my friend.
619	WEEKEND PT_PRO1 WATCH PODCAST	I watch a podcast on the weekend.
620	YESTERDAY PT_PRO2 NOT CLEAN SOMETIMES	You did not clean yesterday sometimes.
621	TODAY PT_PRO2 TIRED	You are tired today.
622	WEEKEND PT_PRO3 COOK	They cook on the weekend.
623	WHY PT_PRO1 WORK Q	Why Do I work today?
624	MORNING PT_PRO3 HELP FRIEND	They help my friend in the morning.
625	NIGHT PT_PRO2 CAN NOT WATCH MOVIE RARELY	You cannot watch a movie at night rarely.
626	NIGHT PT_PRO2 BUY CAR	You buy a car at night.
627	TODAY PT_PRO3 WANT NOT SEE EMAIL	They do not want to see an email today.
628	WHEN PT_PRO1 WAKE-UP Q	When Do I wake up on the weekend?
629	TOMORROW PT_PRO3 CALL FRIEND	They will call my friend tomorrow.
630	WHEN PT_PRO2 WORK Q	When Will you work next week?
631	NOW PT_PRO3 WATCH PODCAST	They watch a podcast now.
632	AFTERNOON PT_PRO3 CALL NEIGHBOUR	They call my neighbour in the afternoon.
633	WEEKEND DOCTOR TRAIN OFTEN Q	Does the doctor train on the weekend often?
634	WEEKEND PT_PRO2 READ SHOES	You read shoes on the weekend.
635	WEEKEND PT_PRO2 LISTEN MUSIC	You listen to music on the weekend.
636	AFTERNOON STUDENT PRACTISE	The student practises in the afternoon.
637	LAST-WEEK PT_PRO3 MEET MUM Q	Did they meet my mum last week?
638	WHAT PT_PRO2 SEE Q	What Do you see in the afternoon?
639	YESTERDAY PT_PRO3 WAKE-UP FAST	They woke up yesterday quickly.
640	NEXT-WEEK DOCTOR SLEEP	The doctor will sleep next week.
641	TOMORROW PT_PRO2 EAT APPLE	You will eat an apple tomorrow.
642	TODAY PT_PRO2 CAN GO BUS-STOP	You can go to the bus stop today.
643	TODAY DOCTOR EMAIL FRIEND	The doctor emails my friend today.
644	NEXT-WEEK DOCTOR GO SCHOOL	The doctor will go to school next week.
645	PT_PRO3 EAT RICE FAST	They eat rice quickly.
646	LAST-WEEK PT_PRO1 HOT	I was hot last week.
647	LAST-WEEK PT_PRO1 NOT MEET DAD	I did not meet my dad last week.
648	NIGHT PT_PRO3 BUSY	They are busy at night.
649	TODAY DOCTOR NOT WALK	The doctor does not walk today.
650	TODAY CHILD SAD	The child is sad today.
651	LAST-WEEK PT_PRO2 WATCH MUSIC RARELY Q	Did you watch music last week rarely?
652	TOMORROW NEIGHBOUR NOT RUN	The neighbour will not run tomorrow.
653	PT_PRO3 MUST EAT NOODLE ALWAYS	They must eat noodles always.
654	TOMORROW PT_PRO1 CAN PRACTISE	I can practise tomorrow.
655	WEEKEND PT_PRO1 WANT NOT BUY BOOK	I do not want to buy a book on the weekend.
656	HOW PT_PRO2 STUDY Q	How Do you study in the afternoon?
657	AFTERNOON PT_PRO2 NOT SEE MESSAGE	You do not see a message in the afternoon.
658	TODAY COACH STUDY Q	Does the coach study today?
659	LAST-WEEK PT_PRO2 BUY EMAIL FAST	You bought an email last week quickly.
660	AFTERNOON PT_PRO2 READ BOOK	You read a book in the afternoon.
661	AFTERNOON PT_PRO3 SLEEP Q	Do they sleep in the afternoon?
662	WEEKEND PT_PRO2 CALL FRIEND	You call my friend on the weekend.
663	PT_PRO1 MEET DAD Q	Do I meet my dad?
664	WHERE PT_PRO1 COME Q	Where Do I come now?
665	WEEKEND PT_PRO3 CALL TEACHER	They call my teacher on the weekend.
666	TOMORROW PT_PRO3 EAT RICE	They will eat rice tomorrow.
667	LAST-WEEK MAN NOT PRACTISE	The man did not practise last week.
668	AFTERNOON PT_PRO1 WORK Q	Do I work in the afternoon?
669	LAST-WEEK PT_PRO1 WAKE-UP	I woke up last week.
670	IF WEEKEND PT_PRO3 TRAIN THEN PT_PRO3 BUSY	If they train, then they are busy on the weekend.
671	NEXT-WEEK PT_PRO3 GO WORK	They will go to work next week.
672	LAST-WEEK PT_PRO1 DRINK WATER FAST	I drank water last week quickly.
673	YESTERDAY PT_PRO2 BAD	You were bad yesterday.
674	LAST-WEEK PT_PRO1 STUDY	I studied last week.
675	TOMORROW WOMAN NOT MEET NEIGHBOUR	The woman will not meet my neighbour tomorrow.
676	NOW NEIGHBOUR NOT SEE PHONE SLOW	The neighbour does not see my phone now slowly.
677	NOW PT_PRO1 WALK Q	Do I walk now?
678	AFTERNOON PT_PRO3 COOK	They cook in the afternoon.
679	MAN NOT SLEEP RARELY	The man does not sleep rarely.
680	AFTERNOON PT_PRO1 WANT NOT TEXT DAD	I do not want to text my dad in the afternoon.
681	MORNING WOMAN SLEEP Q	Does the woman sleep in the morning?
682	AFTERNOON DOCTOR READ BAG	The doctor reads my bag in the afternoon.
683	TODAY PT_PRO3 WAKE-UP SOMETIMES	They wake up today sometimes.
684	AFTERNOON PT_PRO2 TEXT DAD	You text my dad in the afternoon.
685	IF PT_PRO3 WORK THEN PT_PRO3 SAD	If they work, then they are sad.
686	TOMORROW TEACHER RUN SOMETIMES Q	Will the teacher run tomorrow sometimes?
687	WEEKEND PT_PRO1 NOT COOK ALWAYS	I do not cook on the weekend always.
688	TOMORROW PT_PRO3 READ SHOES	They will read shoes tomorrow.
689	NOW PT_PRO1 BUY EMAIL	I buy an email now.
690	WEEKEND PT_PRO2 CLEAN	You clean on the weekend.
691	TODAY PT_PRO2 MUST EAT RICE	You must eat rice today.
692	TOMORROW PT_PRO1 WAKE-UP SOMETIMES Q	Will I wake up tomorrow sometimes?
693	LAST-WEEK PT_PRO2 SLEEP	You slept last week.
694	TOMORROW PT_PRO2 CALL COACH RARELY	You will call my coach tomorrow rarely.
695	AFTERNOON FRIEND SLEEP	My friend sleeps in the afternoon.
696	TOMORROW PT_PRO1 RUN SOMETIMES	I will run tomorrow sometimes.
697	LAST-WEEK PT_PRO3 TRAIN Q	Did they train last week?
698	NOW PT_PRO2 NOT SEE CAR	You do not see a car now.
699	TOMORROW PT_PRO2 SAD	You will be sad tomorrow.
700	MORNING WOMAN MEET TEACHER	The woman meets my teacher in the morning.
701	YESTERDAY PT_PRO1 READ KEY	I read my keys yesterday.
702	AFTERNOON PT_PRO1 PRACTISE	I practise in the afternoon.
703	STUDENT WAKE-UP	The student wakes up.
704	LAST-WEEK PT_PRO3 NOT GO WORK	They did not go to work last week.
705	NOW PT_PRO2 DRINK TEA Q	Do you drink tea now?
706	WHAT PT_PRO3 READ Q	What Did they read last week?
707	MORNING PT_PRO1 CALL TEACHER SLOW Q	Do I call my teacher in the morning slowly?
708	WEEKEND PT_PRO1 NOT TEXT MUM	I do not text my mum on the weekend.
709	NOW TEACHER SAD	The teacher is sad now.
710	IF AFTERNOON MAN GO SCHOOL THEN MAN BUSY	If the man goes to school, then the man is busy.
711	LAST-WEEK PT_PRO1 EAT FOOD	I ate food last week.
712	NEXT-WEEK PT_PRO2 MUST HELP COACH ALWAYS	You must help my coach next week always.
713	AFTERNOON WOMAN BUY EMAIL Q	Does the woman buy an email in the afternoon?
714	WEEKEND TEACHER CLEAN	The teacher cleans on the weekend.
715	NOW COACH LISTEN MOVIE Q	Does the coach listen to a movie now?
716	NIGHT PT_PRO2 WANT NOT RUN	You do not want to run at night.
717	WHEN STUDENT PRACTISE Q	When Does the student practise?
718	MAN WANT NOT WATCH MOVIE	The man does not want to watch a movie.
719	WEEKEND PT_PRO3 NOT SEE PHONE	They do not see my phone on the weekend.
720	NIGHT PT_PRO3 NOT CLEAN	They do not clean at night.
721	NOW PT_PRO1 CAN STUDY Q	I can study now?
722	WHAT PT_PRO1 EAT Q	What Do I eat on the weekend?
723	PT_PRO1 BUY SHOES	I buy shoes.
724	IF PT_PRO3 WORK THEN PT_PRO3 TIRED	If they work, then they are tired.
725	YESTERDAY PT_PRO3 MEET MUM Q	Did they meet my mum yesterday?
726	LAST-WEEK FRIEND MEET COACH Q	Did my friend meet my coach last week?
727	NOW PT_PRO3 MEET DAD	They meet my dad now.
728	NOW STUDENT RUN	The student runs now.
729	TODAY PT_PRO3 COME SHOP	They come to the shop today.
730	LAST-WEEK PT_PRO1 WAKE-UP RARELY	I woke up last week rarely.
731	WEEKEND PT_PRO3 NOT HELP MUM OFTEN	They do not help my mum on the weekend often.
732	WHERE STUDENT GO Q	Where Does the student go in the morning?
733	NIGHT PT_PRO1 HOT	I am hot at night.
734	TODAY PT_PRO1 TEXT DAD	I text my dad today.
735	MORNING PT_PRO2 CAN CALL TEACHER	You can call my teacher in the morning.
736	NEXT-WEEK PT_PRO2 DRINK WATER Q	Will you drink water next week?
737	YESTERDAY DOCTOR CLEAN	The doctor cleaned yesterday.
738	WEEKEND PT_PRO2 DRINK WATER	You drink water on the weekend.
739	PT_PRO1 READY	I am ready.
740	AFTERNOON PT_PRO1 WANT CALL TEACHER	I want to call my teacher in the afternoon.
741	TODAY PT_PRO2 GO BEACH	You go to the beach today.
742	NEIGHBOUR WANT WORK	The neighbour wants to work.
743	AFTERNOON PT_PRO3 WAKE-UP	They wake up in the afternoon.
744	NOW CHILD GO BUS-STOP Q	Does the child go to the bus stop now?
745	PT_PRO3 MEET DAD ALWAYS	They meet my dad always.
746	MORNING PT_PRO2 HOT	You are hot in the morning.
747	IF NEXT-WEEK PT_PRO2 STUDY THEN PT_PRO2 HOT	If you study, then you are hot next week.
748	WHAT COACH WATCH Q	What Does the coach watch in the afternoon?
749	NOW PT_PRO1 SLEEP	I sleep now.
750	WHY PT_PRO3 WORK Q	Why Will they work next week?
751	AFTERNOON CHILD HELP TEACHER	The child helps my teacher in the afternoon.
752	WHY PT_PRO3 GO Q	Why Do they go in the morning?
753	WHEN PT_PRO3 BUY BAG Q	When Do they buy at night?
754	MORNING PT_PRO3 NOT BUY PHONE	They do not buy my phone in the morning.
755	NEXT-WEEK PT_PRO2 NOT WATCH MOVIE RARELY	You will not watch a movie next week rarely.
756	YESTERDAY PT_PRO3 CLEAN	They cleaned yesterday.
757	TOMORROW DOCTOR STUDY ALWAYS	The doctor will study tomorrow always.
758	MORNING NEIGHBOUR NOT COOK	The neighbour does not cook in the morning.
759	WEEKEND PT_PRO1 NOT DRINK WATER	I do not drink water on the weekend.
760	LAST-WEEK PT_PRO3 HELP COACH OFTEN	They helped my coach last week often.
761	YESTERDAY NEIGHBOUR NOT CALL COACH	The neighbour did not call my coach yesterday.
762	TODAY PT_PRO1 NOT HELP DAD ALWAYS	I do not help my dad today always.
763	WHEN PT_PRO3 DRINK WATER Q	When Will they drink next week?
764	PT_PRO2 WANT NOT PRACTISE	You do not want to practise.
765	WHO PT_PRO3 CALL Q	Who Do they call today?
766	MORNING PT_PRO3 WANT WATCH MUSIC OFTEN	They want to watch music in the morning often.
767	MORNING STUDENT LISTEN PODCAST Q	Does the student listen to a podcast in the morning?
768	NIGHT PT_PRO2 CAN HELP MUM	You can help my mum at night.
769	WHEN PT_PRO2 WAKE-UP Q	When Do you wake up today?
770	LAST-WEEK PT_PRO3 BUY BOOK	They bought a book last week.
771	AFTERNOON COACH MUST TEXT NEIGHBOUR	The coach must text my neighbour in the afternoon.
772	MORNING PT_PRO3 NOT WORK	They do not work in the morning.
773	NIGHT PT_PRO1 WAKE-UP	I wake up at night.
774	TODAY PT_PRO3 BUY MESSAGE	They buy a message today.
775	IF TOMORROW PT_PRO3 GO CITY THEN PT_PRO3 TIRED	If they go to the city, then they are tired.
776	NIGHT PT_PRO1 WANT RUN	I want to run at night.
777	WEEKEND PT_PRO3 MEET COACH	They meet my coach on the weekend.
778	TODAY PT_PRO1 CLEAN	I clean today.
779	NEXT-WEEK PT_PRO3 CALL TEACHER SOMETIMES	They will call my teacher next week sometimes.
780	TODAY PT_PRO2 NOT RUN	You do not run today.
781	IF PT_PRO3 RUN THEN PT_PRO3 TIRED	If they run, then they are tired at night.
782	NEXT-WEEK TEACHER CLEAN	The teacher will clean next week.
783	WEEKEND PT_PRO1 NOT WORK	I do not work on the weekend.
784	AFTERNOON PT_PRO1 EMAIL TEACHER FAST Q	Do I email my teacher in the afternoon quickly?
785	WHAT DOCTOR DRINK Q	What Does the doctor drink in the afternoon?
786	NIGHT PT_PRO1 COME SCHOOL	I come to school at night.
787	MORNING PT_PRO3 WALK Q	Do they walk in the morning?
788	NIGHT PT_PRO3 EMAIL FRIEND	They email my friend at night.
789	TOMORROW PT_PRO3 LISTEN MOVIE SOMETIMES Q	Will they listen to a movie tomorrow sometimes?
790	NEXT-WEEK PT_PRO1 CALL FRIEND Q	Will I call my friend next week?
791	NIGHT STUDENT WANT NOT RUN RARELY	The student does not want to run at night rarely.
792	WEEKEND PT_PRO1 MEET FRIEND	I meet my friend on the weekend.
793	NIGHT PT_PRO3 MUST SEE CAR	They must see a car at night.
794	LAST-WEEK PT_PRO1 PRACTISE FAST	I practised last week quickly.
795	MAN WANT GO HOME SOMETIMES Q	The man wants to go to home sometimes?
