text	gloss
well it is very important to have lots of different chisels .	IMPORTANT HAVE MANY DIFFERENT CHISEL
but unfortunately the bee will die .	BUT UNFORTUNATE BEE WILL-NOT LIVE
that means we can use plaster of paris and pour it in .	PT_DEM3 MEAN CAN USE PLASTER-OF-PARIS POUR-IN
friends are always happy to see you .	FRIEND HAPPY SEE PT_PRO2 ALWAYS
well stilts are long pieces of wood with little blocks in them .	STILT WOOD LONG PIECE BLOCK SMALL HAVE
how great i am so excited .	HOW GREAT PT_PRO1 EXCITED
what .	WHAT
yes it has been a great day has not it possum .	RIGHT GOOD-DAY HMMMM PT_PRO2
that is so good .	GOOD
sally what does that say .	NS_SALLY WHAT PT_DEM3 WRITE
jay .	NS_JAY
we have made lots of things out of the recycled bits and pieces .	MAKE THING MANY RECYCLE PIECE BIT
in the house i have some boxes .	HOUSE PT_PRO1 BOX HAVE
but now we need to work out what clues to give her .	NOW NEED WORK-OUT WHAT CLUE GIVE PT_PRO3
yes this is the recipe .	YES PT_DEM3 RECIPE
see possum it is always worthwhile learning new things .	LOOK POSSUM LEARN NEW-THING GOOD ALWAYS
i will go and get it .	PT_PRO1 WILL GO GET
there is plenty of things to do around the house too .	HOUSE AROUND THING PLENTY DO-CAN
now sally enjoy it while you can because tomorrow the house will be taken down .	NOW NS_SALLY ENJOY CAN-WHILE BECAUSE TOMORROW HOUSE TAKE-DOWN
i am getting closer and closer .	PT_PRO1 GET CLOSE CLOSE
you have so many of them .	PT_PRO2 HAVE BOOK MANY
i must go tell sally .	PT_PRO1 MUST GO TELL NS_SALLY
have fun .	HAVE FUN
it would be great for you to count all my hammers .	PT_POSS1 HAMMER ALL COUNT GOOD BE PT_PRO2
come in come in take a seat .	COME-IN COME-IN SIT SEAT
see the four islands .	SEE FOUR ISLAND
look it says bike .	SAY BIKE
you do great .	PT_PRO2 DO GREAT
it does not sink it floats .	NOT-SINK FLOAT
bye .	BYE
these are the halves .	PT_DEM3PL HALVES
sally why has he got that .	NS_SALLY WHY PT_PRO3 HAVE PT_DEM3
that is a tent .	PT_DEM3 TENT
tree .	TREE
i had a great bike ride .	PT_PRO1 HAVE GREAT BIKE RIDE
yes it is best to go out on a boat to the reef .	YES BOAT REEF GO BEST
that is for turning .	TURN PURPOSE
that smells delicious .	PT_DEM3 SMELL DELICIOUS
we will just wait a bit longer .	WAIT BIT LONGER
i would like to make a pattern with the toppings .	PT_PRO1 WANT MAKE PATTERN TOPPING
i have got everything ready .	PT_PRO1 HAVE EVERYTHING READY
make it all sticky and paste like .	MAKE STICKY PASTE-LIKE
can you do that please .	CAN PT_PRO2 DO PT_DEM3 PLEASE
pick a color and color in the shape that you have made .	CHOOSE COLOR AND COLOR-IN SHAPE PT_POSS2 MAKE FINISH
hello good morning .	HELLO GOOD MORNING
now we need to add something sweet like honey .	NOW NEED ADD SOMETHING SWEET HONEY
it will look great would you like to do that .	LOOK GREAT LIKE-TO DO QUESTION
sally can you watch ice melt .	NS_SALLY PT_PRO2 ICE MELT WATCH CAN
now we put in there .	NOW PT_PRO1PL PUT THERE
you are so funny .	PT_PRO2 FUNNY VERY
i can not tell you that .	PT_PRO1 TELL-NOT PT_PRO2
yes you pushed me a very long way .	YES PT_PRO2 PUSH PT_PRO1 LONG-DISTANCE
you can pull .	PT_PRO2 CAN PULL
hello everyone .	HELLO EVERYONE
hello .	HELLO
water is very useful .	WATER USEFUL VERY
the way they work together to make the honey like this .	WAY PT_PRO3PL WORK TOGETHER MAKE HONEY LIKE-THIS
yes .	YES
now everyone is here .	NOW EVERYONE HERE
i am possum .	PT_PRO1 NS_POSSUM
now those ones are called telescopes .	NOW PT_DEM3 CALL TELESCOPE
why .	WHY
see you next time .	SEE PT_PRO2 NEXT-TIME
me .	PT_PRO1
there are many wellknown australian animals .	ANIMAL AUSTRALIAN FAMOUS MANY
if you put a heavy thing on the water sometimes it can float .	PT_PRO2 PUT HEAVY THING WATER SOMETIMES FLOAT
that is right that is how you started .	RIGHT HOW PT_PRO2 START
hold on sally .	WAIT NS_SALLY
that is what makes the boat move .	PT_DEM3 MAKE BOAT MOVE
that is right possum it does say stop .	RIGHT NS_POSSUM PT_DEM3 SAY STOP
you have thought that through very carefully .	PT_PRO2 THINK THROUGH CAREFUL
that looks great .	PT_DEM3 GOOD
you put a stamp on it then you go to the post office and they will put it in amandas letterbox .	PT_PRO2 PUT STAMP THEN PT_PRO2 GO POST-OFFICE PT_PRO3PL WILL PUT PT_POSS3 LETTERBOX
we need one hundred and twentyfive grams ok .	PT_PRO1PL NEED ONE-HUNDRED-TWENTY-FIVE GRAM OK
australia is here .	AUSTRALIA LOCATION-HERE
there is so many things here .	HERE MANY THING
shall we have a look .	LOOK TOGETHER MAYBE
five .	FIVE
now i will do the square this is a whole .	NOW PT_PRO1 DO SQUARE PT_DEM3 WHOLE
that is right .	TRUE
it was a great push .	PUSH GREAT
i was watching you .	WATCH PT_PRO2 PT_PRO1
you use one hexagon per colour .	USE ONE HEXAGON PER COLOUR
i wish i could do that too .	PT_PRO1 WISH PT_PRO1 CAN DO PT_DEM3 ALSO
that is great .	PT_DEM3 GREAT
the light is flashing .	LIGHT FLASH
come on in .	COME-IN
but sally what is a performance .	BUT NS_SALLY WHAT PERFORMANCE
if we cut the pie in half we will have two equal parts .	CUT PIE HALF PT_PRO1PL HAVE TWO EQUAL PART
why do not we go outside and draw a map and plan our treasure hunt .	WHY NOT GO OUTSIDE DRAW MAP PLAN TREASURE-HUNT
all i have to do is follow the rope .	PT_PRO1 ONLY FOLLOW ROPE
i can not tell you because it would spoil the surprise .	PT_PRO1 TELL PT_PRO2 CAN-NOT SURPRISE SPOIL
that is a very good way of explaining it possum .	VERY GOOD EXPLAIN-WAY NS_POSSUM
yes so am i .	YES PT_PRO1 SAME
it is far too hard to do that .	FAR HARD DO PT_DEM3
that is actually my home .	PT_DEM3 PT_PRO1 HOME
yes .	YES
me yes i would love to help you make it .	YES PT_PRO1 LOVE HELP PT_PRO2 MAKE
sally and possum .	NS_SALLY AND POSSUM
it is an old fridge .	PT_DEM3 FRIDGE OLD
yes i can possum .	YES PT_PRO1 CAN NS_POSSUM
keep stirring .	KEEP STIR
that is great .	GREAT
i do not have them .	PT_PRO1 HAVE-NOT
of course i do they are similar are not they .	YES THEY SAME QUESTION
i see i have never fixed a bike before .	PT_PRO1 SEE PT_PRO1 FIX-NOT BIKE BEFORE
but you can not hop in there .	NOT-HOP HERE
then the emu .	EMU
actually i am writing a code here so i know where my tools are .	ACTUALLY PT_PRO1 WRITE CODE HERE KNOW WHERE PT_POSS1 TOOL
look it is the last one .	LOOK PT_DEM3 LAST ONE
that is better i am all dry now .	DRY NOW BETTER
why do not we watch some children making papiermâché balloons .	WHY NOT WATCH CHILD MAKE PAPIER-MACHE BALLOON WHAT
thank you .	THANK-YOU
sally skip was talking about a full moon .	NS_SALLY SKIP TALK ABOUT MOON FULL
hello everyone .	G'DAY EVERYONE
hey possum come on in .	HEY NS_POSSUM COME IN
i have been in here the whole time .	PT_PRO1 HAVE INSIDE WHOLE-TIME
that looked so interesting .	PT_DEM3 LOOK INTERESTING VERY
yes they picked some lovely colors did not they .	YES PT_PRO3PL PICK COLOR LOVELY NOT-WANT PT_PRO3PL
yes i do .	YES PT_PRO1 HAVE
right shall we cut .	CUT PT_PRO1PL
good .	GOOD
okay .	OKAY
you are right possum .	PT_PRO2 RIGHT NS_POSSUM
now i am going to quickly get all of my weeds and put them into the compost before it gets too hot .	NOW PT_PRO1 GO QUICK GET PT_POSS1 WEED PUT COMPOST BEFORE HOT
it must be new .	MUST NEW
i can give her a bunch of flowers .	GIVE PT_PRO3 FLOWER BUNCH
now while i am doing that can you please get one tablespoon of honey .	NOW WHILE PT_PRO1 DO PT_DEM3 CAN PT_PRO2 PLEASE GET TABLESPOON HONEY ONE
hi everyone .	HI EVERYONE
we could learn more about angles or types of tools .	PT_PRO1-PL CAN LEARN MORE ABOUT ANGLE OR TOOL TYPE
i asked sally to push me she did not want to .	PT_PRO1 ASK NS_SALLY PUSH PT_PRO1 PT_PRO3 WANT-NOT
let us watch .	LET WATCH PT_PRO1PL
you went left right left right .	PT_PRO2 GO LEFT RIGHT LEFT RIGHT
no possum it is not a small balloon it is a very big balloon with a basket underneath .	NO NS_POSSUM NOT SMALL BALLOON BIG BALLOON BASKET UNDERNEATH
why do not we pretend that our feet are really sticky and that the grass is all sticky all the way back to the kitchen .	WHY PT_PRO1PL PRETEND FOOT STICKY GRASS STICKY KITCHEN
this half and these quarters make one whole .	PT_DEM3 HALF PT_DEM3PL QUARTERS MAKE ONE WHOLE
yesterday i watered the garden .	YESTERDAY GARDEN WATER
it is a bit like an obstacle course .	LIKE OBSTACLE COURSE BIT
that is fabulous .	FABULOUS
what were you doing outside possum .	WHAT PT_PRO2 DO OUTSIDE NS_POSSUM
you can make boats of all sort of different things .	BOAT MAKE CAN PT_PRO2, THING DIFFERENT MANY
yep that is good .	GOOD
but in a bowl we will break our eggs .	BOWL BREAK EGG PT_PRO1PL
yes come in .	YES COME-IN
would you like to try them out now possum .	PT_PRO2 LIKE TRY NOW POSSUM
but could you imagine if you had a nice curly bendy straw .	IMAGINE PT_PRO2 HAVE STRAW CURL BEND
i remember once sitting at the top of my tree and seeing a beautiful rainbow .	PT_PRO1 REMEMBER SIT TOP PT_POSS1 TREE SEE BEAUTIFUL RAINBOW
it will be too hard and too heavy just leave it in the wheel barrow .	HARD VERY HEAVY VERY FUTURE LEAVE WHEELBARROW LOC
i am making a kite .	PT_PRO1 MAKE KITE
is that the same glass as a window .	PT_DEM3 SAME GLASS WINDOW
what is the matter possum .	WHAT MATTER NS_POSSUM
we use it as a binding agent almost like glue .	PT_PRO1PL USE BIND AGENT GLUE LIKE
ok let us go .	OK PT_PRO1PL GO
that really does look good .	PT_DEM3 REALLY LOOK-LIKE GOOD
that was great .	GREAT
can you please get the dustpan and brush .	PT_PRO2 GET-PLEASE DUSTPAN AND BRUSH.
that is great .	PT_DEM3 GREAT
we need four long strips .	PT_PRO1PL NEED FOUR LONG STRIP
this is good news .	PT_DEM3 GOOD NEWS
yeah let us watch .	WATCH
i am possum .	PT_PRO1 POSSUM
skip is here .	NS_SKIP HERE
possum no .	NS_POSSUM NO
i thought skip just knew about boats .	PT_PRO1 THINK SKIP KNOW BOAT ONLY
now that we have filled it up we just need to put a little bit of water in there .	NOW FILL-UP FINISH WATER PUT-IN LITTLE NEED
the coconut oil when you put it into the fridge is cold enough for it to become solid .	COCONUT OIL FRIDGE COLD SOLID
do you remember that .	PT_PRO2 REMEMBER PT_DEM3
i could get a bunch of tools for us to compare .	PT_PRO1 COULD GET BUNCH TOOL PT_PRO1PL COMPARE
well i am going to draw these leaves and then i will show you ok .	WELL PT_PRO1 DRAW PT_DEM3 LEAF AND THEN PT_PRO1 SHOW PT_PRO2 OK
at night time i like to go on adventures .	NIGHT-TIME LIKE GO ADVENTURE
look .	LOOK
this looks so good .	PT_DEM3 LOOK GOOD
now i know how to ride a bike .	NOW PT_PRO1 KNOW RIDE BIKE
look someone is lips .	LOOK PT_PRO3 LIPS
silly me .	SILLY PT_PRO1
do you know there is a story .	PT_PRO2 KNOW STORY EXIST
now you put this in here .	NOW PUT PT_DEM3 HERE
it was very very painful .	VERY VERY PAINFUL
is everyone ready for a circus performance .	EVERYONE READY CIRCUS PERFORM
would you like a cup of tea skip .	PT_PRO2 LIKE CUP TEA SKIP
hi sally .	HI NS_SALLY
see you next time .	NEXT-TIME SEE PT_PRO2
perfect timing .	PERFECT TIME
that was brilliant .	PT_DEM3 BRILLIANT
i wonder what it could be .	PT_PRO1 WONDER WHAT COULD-BE
imagine combing a sheep .	SHEEP COMB IMAGINE
i know .	PT_PRO1 KNOW
the ladder is disappeared .	LADDER DISAPPEAR FINISH
yeah me too .	YES PT_PRO1 ALSO
let us go .	PT_PRO1PL GO
why do not we watch children learning about road safety .	WHY NOT PT_PRO1PL WATCH CHILD LEARN ROAD SAFETY
i am making cottage pie .	PT_PRO1 MAKE COTTAGE-PIE
you are so lucky to have seen two rainbows in one day .	PT_PRO2 LUCKY SEE RAINBOW TWO ONE-DAY
it has gone .	WHEELBARROW GONE
that is special .	SPECIAL
yeah .	YEAH
there is one more there possum grab that one .	ONE MORE PT_LOC POSSUM GRAB PT_DEM3
how could i tell .	HOW PT_PRO1 KNOW
hello everyone .	HELLO EVERYONE
i am gonna go and see if possum is ready for the barbecue .	PT_PRO1 WILL GO SEE POSSUM READY BARBECUE
this is all the fruit we have .	PT_DEM3 FRUIT ALL PT_POSS1
it is in my tree house .	PT_LOC INSIDE PT_POSS1 TREE HOUSE
i found some dried apricots .	APRICOT DRY FIND PT_PRO1
no possum you can not have .	POSSUM PT_PRO2 HAVE-NOT
before i was outside and now i am inside .	BEFORE PT_PRO1 OUTSIDE NOW PT_PRO1 INSIDE
yes you can .	YES PT_PRO2 CAN
see .	SEE
ok let us go .	OKAY GO
watch me sally .	NS_SALLY WATCH PT_PRO1
yes possum .	YES POSSUM
three columns .	THREE COLUMN
sally this is like your kettle .	NS_SALLY PT_DEM3 LIKE PT_POSS2 KETTLE
hello .	HELLO
squeeze the sponge over the bowl see what happens .	SPONGE SQUEEZE OVER BOWL HAPPEN WHAT SEE
can i add something to it .	CAN PT_PRO1 ADD SOMETHING PT_DEM3
all that iceskating looked like so much fun .	ICE-SKATE MANY FUN LOOK-LIKE
i just came in here and made the biscuits .	PT_PRO1 COME MAKE BISCUIT
that is a lovely tomato .	PT_DEM3 LOVELY TOMATO
come on let us go inside and have a snack .	COME-ON PT_PRO1PL GO INSIDE SNACK
it would be great to know how much rain we had .	GOOD KNOW HOW-MUCH RAIN PT_PRO1PL HAVE
no one is enough for me thank you .	NOBODY ENOUGH PT_POSS1 THANK-YOU
yeah i will put the map away .	YES PT_PRO1 PUT MAP AWAY
what have you been busy doing .	PT_PRO2 BUSY DO WHAT
i am gonna collect them and see if i can make something .	COLLECT PT_PRO3PL SEE MAKE SOMETHING CAN
but before i do that there are a few things that i need to do inside .	BEFORE THING INSIDE DO NEED
well it is from flowers but there is something else that turns it into honey .	WELL PT_PRO3 COME-FROM FLOWER BUT SOMETHING-ELSE TURN PT_PRO3 HONEY
this is him this is our neighbour .	PT_DEM3 PT_PRO3 PT_DEM3 PT_POSS1PL NEIGHBOUR
i like soccer balls .	PT_PRO1 SOCCER-BALL LIKE
you put cheese on a pizza and put it into the oven when it gets nice and hot the cheese melts .	CHEESE PUT PIZZA PUT OVEN HOT CHEESE MELT
we can not make the harder ones because you need a special tool to cut the pieces .	PT_PRO1PL CAN-NOT MAKE HARD-ONE BECAUSE PT_PRO2 NEED SPECIAL TOOL CUT PIECE
it becomes white and orange .	BECOME WHITE ORANGE
i am skip what are you here for .	PT_PRO1 NS_SKIP WHAT PT_PRO2 HERE WHY
i have got a tail because i am the new possum .	PT_PRO1 TAIL HAVE BECAUSE PT_PRO1 POSSUM NEW
you both look very happy .	PT_PRO2PL LOOK HAPPY VERY
can you put no possum is not in the kitchen .	CAN PT_PRO2 PUT POSSUM-NOT KITCHEN
i know what that is .	PT_PRO1 KNOW WHAT THAT
okay .	OKAY
first of all we need to cut up some strips of paper .	FIRST NEED CUT-UP PAPER STRIP
no just climbed my tree .	NO JUST CLIMB PT_POSS1 TREE
was it the bike we could not find .	BIKE PT_PRO1PL FIND-NOT
look sally .	LOOK NS_SALLY
h a t .	H-A-T
can you do that for me please .	PT_PRO2 CAN DO PT_DEM3 PT_PRO1 PLEASE
that is great .	GREAT
a person that is always helping .	PERSON HELP ALWAYS
how many in your row possum .	HOW-MANY PT_POSS2 ROW NS_POSSUM
sally can we can make one more for you .	NS_SALLY PT_PRO2 CAN MAKE ONE MORE PT_POSS2
look at you big and strong lifting that heavy box but what happened next .	LOOK PT_PRO2 BIG STRONG LIFT PT_DEM3 BOX HEAVY BUT HAPPEN NEXT WHAT
hello sally i have got my shade .	HELLO NS_SALLY PT_PRO1 HAVE SHADE
it was a square .	SQUARE
where are the scissors and string .	SCISSORS STRING WHERE
i can see you are very excited .	PT_PRO1 CAN SEE PT_PRO2 VERY EXCITED
right .	RIGHT
after we got the xray back we found out it was not broken it was just a sprain .	X-RAY RETURN FIND BREAK-NOT SPRAIN
so i dip the paper in the glue and used that to make the ball .	PAPER GLUE DIP USE BALL MAKE
yes please thank you .	YES PLEASE THANK-YOU
i can smell something it is delicious .	PT_PRO1 SMELL SOMETHING DELICIOUS
that is great .	GREAT
i love sharing food .	PT_PRO1 LOVE SHARE FOOD
why do not i go and get a plank of wood from my place and we can rest it on the rungs and see how the ball rolls down the ramp at the angle we make .	WHY PT_PRO1 NOT-GO GET WOOD PT_POSS1 PLACE PT_PRO1PL REST RUNG LOOK BALL ROLL RAMP ANGLE PT_PRO1PL MAKE
can we cook outside as well .	CAN WE COOK OUTSIDE ALSO
can you help get my writing things possum .	WANT HELP GET PT_POSS1 WRITE-THING POSSUM
we want to really hunt for this treasure .	WANT HUNT TREASURE REALLY
possum look .	POSSUM LOOK
but i am not sure if he is awake yet .	AWAKE MAYBE NOT POSSUM
that was good fun possum but i can not play any longer .	PT_DEM3 GOOD FUN POSSUM BUT PT_PRO1 PLAY-NOT CAN LONG
i train very hard .	PT_PRO1 TRAIN VERY HARD
sally they look beautiful .	NS_SALLY PT_PRO3PL LOOK BEAUTIFUL
great .	GREAT
pancakes are not big and round they are flat .	PANCAKE MANY BIG ROUND-SHAPE NOT FLAT
great .	GREAT
ok it is pointing at three .	POINT THREE
our time is up .	PT_POSS1PL TIME FINISH
let us see .	SEE
they are floating .	PT_PRO3PL DS(C)MOVE-FLOAT
sally has just taught me how to count using tally marks so i can go one two three four and the fifth is a line through the middle .	NS_SALLY TEACH PT_PRO1 RECENTLY COUNT USE TALLY-MARK RECENT SO PT_PRO1 COUNT ONE TWO THREE FOUR AND FIVE LINE MIDDLE THROUGH
what .	WHAT
it is always good to pick the right tool for the job .	JOB RIGHT TOOL PICK GOOD ALWAYS
are you busy skip .	PT_PRO2 BUSY SKIP
good idea .	GOOD IDEA
this is a very special paint possum .	PAINT SPECIAL VERY PT_DEM3
yes and you are to be the boss of the house .	YES PT_PRO2 BOSS HOUSE
i will be fast .	FAST WILL
it is very big .	BOX VERY BIG
ok i will go ask him .	OK PT_PRO1 GO ASK
i am going to give you a treat .	PT_PRO1 GIVE PT_PRO2 TREAT
look .	LOOK
that is great .	PT_DEM3 GREAT
just make sure we get a good wind to blow it up into the sky .	MAKE-SURE PT_PRO1PL GET GOOD WIND BLOW-UP KITE SKY
i have had a thought possum .	PT_PRO1 HAVE THINK
it is such a lovely evening .	EVENING LOVELY
what do you mean by busy possum .	BUSY MEAN WHAT PT_PRO2
that is about forty .	FORTY ABOUT
that looked great .	PT_DEM3 LOOK GREAT
yes i have got three .	YES PT_PRO1 HAVE THREE
see you next time .	SEE PT_PRO2 NEXT TIME
but now she has given it to me .	BUT NOW GRANDMOTHER GIVE PT_PRO1
like using that shovel .	SHOVEL USE LIKE
the usual just playing some soccer .	USUAL PLAY SOCCER
well how did this get full .	HOW FULL GET-FULL
i will see what else there is .	FUTURE SEE WHAT-ELSE
sure .	YES
well he is going up there to investigate the problem he is going to try and fix it that is great .	WELL PT_PRO3 GO UP PT_LOC INVESTIGATE PROBLEM PT_PRO3 TRY FIX PT_DEM3 GREAT
i know where follow me .	PT_PRO1 KNOW FOLLOW PT_PRO2
the paper went up flat .	PAPER GO-UP FLAT
where did he go .	WHERE GO PT_PRO3
we have got plenty of flowers left over too .	PT_PRO1PL HAVE FLOWER PLENTY LEFT-OVER ALSO
no possum have you really forgotten .	NO POSSUM FORGET PT_PRO2
but he is not with the dog .	BUT PT_PRO3 NOT-WITH DOG
this one .	THIS-ONE
then i got to watch them floating in the sky and shining in the sun .	THEN PT_PRO1 WATCH FLOAT SKY SHINE SUN
but what about the tree .	BUT TREE WHAT
gravity should make it go if i stop that it will not work .	GRAVITY WILL MAKE-MOVE IF PT_PRO1 STOP-NOT WILL-NOT WORK
i know .	PT_PRO1 KNOW
that sounds great possum .	PT_DEM3 SOUND GREAT NS_POSSUM
then when that has done another bigger truck is going to come through .	THEN FINISH PT_DEM3 ANOTHER TRUCK BIG-MORE COME THROUGH FUTURE
see here on the side .	SEE HERE SIDE
it is looks like fruit .	LOOK-LIKE FRUIT
he is deaf .	PT_PRO3 DEAF
the small bubbles will have a skin with the air on the inside .	SMALL BUBBLE MANY SKIN HAVE AIR INSIDE
bye .	BYE
you have done some great comparing .	PT_PRO2 FINISH COMPARE GREAT
well it was there were ten steps .	STEP TEN
that was not your fridge that was mine possum .	PT_DEM3 FRIDGE PT_POSS2 NOT-BE PT_DEM3 FRIDGE PT_POSS1 NS_POSSUM
bye .	BYE
there it is i found it .	PT_DEM3 PT_PRO1 FIND
to do that we need to roll out these balls of clay and make sure when we are rolling them out they are nice and even .	DO THAT PT_PRO1PL NEED ROLL-OUT BALL CLAY MAKE SURE ROLL-OUT NICE EVEN
six .	SIX
well our time is up .	NOW TIME FINISH
you can start thinking about your story .	PT_PRO2 STORY PT_POSS2 THINK START
what is it .	WHAT
i want to do it now .	PT_PRO1 WANT DO NOW
i think it is time we have something to eat and drink .	PT_PRO1 THINK TIME EAT DRINK
that looks lovely .	PT_DEM3 LOVELY LOOK
then lots of insects will start to eat the leaves and twigs and whatever else is in there and they will break it down to become beautiful soil and that will help everything grow .	INSECT MANY START EAT LEAF TWIG EVERYTHING BREAK-DOWN SOIL BECOME HELP GROW
no we do not need real mud .	NO PT_PRO1PL NOT-NEED REAL MUD
why do not we watch children learning about silhouettes .	WHY NOT WATCH CHILD LEARN SILHOUETTE
yeah i have got an itchy throat .	PT_PRO1 HAVE THROAT ITCHY
why not let us go .	WHY NOT-GO PT_PRO1PL
i am not a butterfly .	PT_PRO1 NOT BUTTERFLY
a litterfree lunch is all the foods that do not have any wrappers to dispose of .	LUNCH LITTERFREE FOOD ALL WRAPPER HAVE-NOT THROW-AWAY
right .	YES
look .	LOOK
that will tell us how many level cups and how many level teaspoons we need to make the bread .	PT_DEM3 WILL TELL PT_PRO1PL HOW-MANY CUP LEVEL AND HOW-MANY TEASPOON LEVEL PT_PRO1PL NEED MAKE BREAD
you can look at it whenever you want .	PT_PRO2 WANT WHENEVER LOOK PT_DEM3
but skip can you show me how the marble run works .	BUT NS_SKIP PT_PRO2 CAN SHOW PT_PRO1 HOW MARBLE RUN WORK
well yes that is very true .	YES PT_DEM3 TRUE VERY
look .	LOOK
it flew here .	FLY ARRIVE
no most possums can not write english or sign .	NO MOST POSSUM CAN-NOT WRITE ENGLISH OR SIGN
well not really .	NOT REALLY
you are funny sally .	PT_PRO2 FUNNY NS_SALLY
he normally sits in that chair .	NORMALLY CHAIR PT_DEM3 SIT
would you like a drink possum .	WANT DRINK POSSUM PT_PRO2
that is a beautiful circle .	PT_DEM3 BEAUTIFUL CIRCLE
it must have been sally .	MUST NS_SALLY
that for me .	PT_DEM3 FOR PT_PRO1
so before they were healthy and strong and stood like this and now they are wilted and look like these .	BEFORE PLANT HEALTHY STRONG STAND-UPRIGHT DS(B) NOW WILT LOOK DS(C)
have you got anything we can use .	HAVE THING CAN USE
hello .	HELLO
where is possum .	WHERE NS_POSSUM
rock and sway .	ROCK SWAY
how about from here to the house .	HERE PT_LOC HOUSE STEP MANY HOW-MANY
possum .	NS_POSSUM
the game is called snap .	GAME CALL SNAP
he was so quick .	QUICK VERY
they smell lovely .	PT_PRO3PL SMELL LOVELY
then you can find the middle .	THEN PT_PRO2 CAN FIND MIDDLE
i do not know .	PT_PRO1 KNOW-NOT
you said you wanted to be taller .	PT_PRO2 SAY WANT TALL BECOME
i think it would be great for us to go for a bit of a walk and we will have good fun and enjoy ourselves .	PT_PRO1 THINK WALK LITTLE GO GREAT PT_PRO1PL FUN GOOD ENJOY PT_REFL1PL WILL
are they equal sizes possum .	PT_PRO3PL EQUAL SIZE
sally look at this .	NS_SALLY LOOK PT_DEM3
i will go to the post office and buy a stamp and write amandas address on it and then post it .	PT_PRO1 WILL GO POST-OFFICE BUY STAMP WRITE NS_AMANDA ADDRESS ON-IT POST
luckily i am finished .	LUCKY PT_PRO1 FINISH
great .	GREAT
no that is different .	NO PT_DEM3 DIFFERENT
i will need to check sallys glass to see if there is ice in there .	PT_PRO1 NEED CHECK GLASS NS_SALLY SEE ICE THERE
people even fish at the beach and they like to eat what they catch .	PEOPLE FISH BEACH LIKE EAT CATCH
yes .	YES
i will see what i have got in the fridge to put on our omelette .	PT_PRO1 WILL SEE WHAT PT_PRO1 HAVE FRIDGE PUT OMELETTE
put it in the bowl .	PUT PT_PRO3 BOWL
that looked great .	PT_DEM3 LOOK GREAT
sally what is this .	NS_SALLY PT_DEM3 WHAT
on top of the water .	WATER TOP-OF
me ok .	PT_PRO1 GOOD
you like that .	PT_PRO2 LIKE PT_DEM3
hello .	HELLO
it is delicious great .	DELICIOUS GREAT
if you make a mistake just keep going .	MISTAKE MAKE PT_PRO2 KEEP-GO
yeah but there is still lots of things in there at the moment sally .	YES BUT THING MANY THERE MOMENT THIS EXIST STILL
i have an idea .	PT_PRO1 IDEA HAVE
look .	LOOK
that is right possum you have really thought about that .	RIGHT POSSUM PT_PRO2 THINK REALLY ABOUT PT_DEM3
i need to go inside and make lunch .	PT_PRO1 NEED GO-INSIDE MAKE LUNCH
yes it will .	YES WILL
but skip is very good at working things out so i was very careful not to tell him anything .	BUT SKIP SMART VERY WORK-OUT THINK-HARD PT_PRO1 CAREFUL-NOT TELL-NOT PT_PRO3 ANYTHING
ok .	OK
can you remember .	REMEMBER CAN
when it is dark you can not see yourself in a mirror .	DARK MIRROR YOURSELF SEE-NOT
soap to wash my hands .	SOAP HAND WASH
that makes sense .	MAKE SENSE
the trigger on this is a little lever .	TRIGGER LEVER SMALL
she has to go from clue to clue to find .	PT_PRO3 MUST GO CLUE TO CLUE FIND
can you check the clock .	YOU CHECK CLOCK
why do not you and i organize a treasure hunt for her .	PT_PRO2 PT_PRO1 ORGANIZE TREASURE-HUNT PT_POSS3 WHY-NOT
ok .	OK
hi .	HI
hello there possum hi sally .	HELLO PT_LOC NS_POSSUM HELLO NS_SALLY
some of the eggs they lay can be eaten .	EGG SOME PART CAN EAT
pull .	PULL
but it is up to him to decide how he cuts the pie .	PT_PRO3 DECIDE CUT PIE HOW
great .	GREAT
i can make a cup of tea i will go inside and make some .	PT_PRO1 MAKE TEA PT_PRO1 GO INSIDE MAKE
hello .	HELLO
now i like learning about light and reflections .	NOW LIKE LEARN LIGHT REFLECTION
just lovely .	LOVELY
i do feel better .	PT_PRO1 FEEL BETTER
i love learning those words .	PT_PRO1 LOVE LEARN WORD-THOSE
it is very heavy .	PT_DEM3 HEAVY VERY
i wonder what amanda has gonna make .	NS_AMANDA MAKE WHAT WONDER
but then i saw that sally was walking past and i did not want her to think that i was going to live here too so i hid .	SALLY WALK-PAST PT_LOC PT_PRO1 SAW NOT-WANT PT_PRO3 THINK PT_PRO1 LIVE HERE-TOO HIDE
i am going to go and tell skip now .	PT_PRO1 WILL-GO TELL NS_SKIP NOW
it is already feeling a little bit warmer .	ALREADY WARM BIT LITTLE
look at this that is lovely .	LOOK PT_DEM3 BEAUTIFUL
can you get two please two sets .	GET TWO-SET PLEASE
if you pick pancakes you could just eat them today .	PANCAKE PICK EAT TODAY ONLY CAN
yes it really is a lovely day .	YES LOVELY DAY
i have got everything organized and ready for planting .	PT_PRO1 ORGANIZE READY PLANT
it was fantastic .	FANTASTIC
i know what we can make .	PT_PRO1 KNOW WHAT PT_PRO1 CAN MAKE
there you go thank you down you go .	PT_PRO2 GO THANK-YOU PT_PRO2 GO-AWAY
our time is up .	TIME FINISH
i have got all the vegetables ready .	PT_PRO1 VEGETABLE ALL READY
