text	gloss
anyway .	ANYWAY
there is only just enough biscuits to go around .	BISCUIT JUST ENOUGH AROUND GO
there is plenty to go around .	PLENTY AROUND GO
hello pauline .	HELLO NS_PAULINE
i have made fruit cake for all of us to share .	PT_PRO1 FRUIT-CAKE ALL PT_PRO1PL SHARE MAKE
thank you .	THANK-YOU
i know tracy is on her way in .	PT_PRO1 KNOW NS_TRACY PT_POSS3 WAY IN COME
hello everyone .	HELLO EVERYONE
hi tracy hello .	HI NS_TRACY HELLO
hi tracy .	HI NS_TRACY
tracy do you like biscuits .	NS_TRACY PT_PRO2 LIKE BISCUIT
i do i love biscuits .	PT_PRO1 LIKE PT_PRO1 LOVE BISCUIT
that is why i have made some more .	REASON PT_PRO1 MAKE MORE
this is easy to share now .	PT_DEM3 EASY SHARE NOW
i can eat as much as i want until i am full and then whatever has left over you guys can share it around .	PT_PRO1 EAT MUCH WANT UNTIL PT_PRO1 FULL THEN LEFT-OVER PT_PRO2PL SHARE
well our time is up .	TIME FINISH
thanks for watching .	THANK PT_PRO2 WATCH
see you next time .	SEE PT_PRO2 NEXT TIME
bye bye .	BYE BYE
right i want that one .	RIGHT PT_PRO1 WANT PT_DEM3
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 SALLY
i am possum .	PT_PRO1 POSSUM
hello .	HELLO
hello .	HELLO
hello everyone .	HELLO EVERYONE
look at the lovely breakfast i have made for me and possum .	LOOK BREAKFAST NICE PT_POSS1 MAKE PT_PRO1 PT_POSS1 POSSUM
possum should be here soon .	POSSUM COME SOON
it looks like i have time to clean those dirty windows on the door .	PT_PRO1 TIME CLEAN WINDOW DIRTY DOOR
i will clean the outside after breakfast .	PT_PRO1 CLEAN OUTSIDE AFTER BREAKFAST
water is very useful .	WATER USEFUL VERY
you can use it for many different things .	PT_PRO2 CAN USE MANY DIFFERENT THING
i am using water to boil my eggs .	PT_PRO1 USE WATER BOIL PT_POSS1 EGG
i am using water to make my tea .	PT_PRO1 USE WATER MAKE PT_POSS1 TEA
there is water in the bucket and that helps me clean the windows .	WATER BUCKET HAVE PT_DEM3 HELP PT_PRO1 CLEAN WINDOW
it is great .	GREAT
well my eggs are ready .	PT_POSS1 EGG READY
everything is ready .	EVERYTHING READY
where is possum .	POSSUM WHERE
he is taking his time .	PT_PRO3 TAKE TIME
good morning everybody .	GOOD-MORNING EVERYONE
what .	WHAT
it rained last night .	RAIN LAST NIGHT
but there are no puddles there should be puddles .	BUT PUDDLE NOT-HAVE PUDDLE SHOULD-BE
that is dry too .	PT_DEM3 DRY ALSO
well i am off to have breakfast with sally .	WELL PT_PRO1 BREAKFAST NS_SALLY
hello .	HELLO
hello .	HELLO
good morning .	GOOD MORNING
sally is it ready .	NS_SALLY READY
yes it is ready .	YES READY
i have been waiting for you to get here before i started to eat it .	PT_PRO1 WAIT-FOR PT_PRO2 ARRIVE BEFORE PT_PRO1 EAT
sorry sally last night i thought it had rained .	SORRY NS_SALLY YESTERDAY NIGHT PT_PRO1 THINK RAIN
but when i woke up this morning there were no puddles .	WAKE-UP MORNING NOW NOT PUDDLE
but i found one spot where it did rain .	PT_PRO1 FIND ONE SPOT RAIN
one spot only where it rained nowhere else .	ONE SPOT RAIN NOWHERE-ELSE
i did not think it rained at all possum .	PT_PRO1 THINK-NOT RAIN POSSUM
i put my head out the door earlier and i could not see any water .	PT_PRO1 HEAD OUT DOOR BEFORE-TIME PT_PRO1 CAN-NOT SEE WATER
anyway look at it boiling .	LOOK BUBBLE
it is bubbling away .	BUBBLE AWAY
bubbling .	BUBBLE
where is it going .	WHERE GO
well possum underneath the element heats up and that heats the water makes it bubble and then it turns into steam .	WELL POSSUM UNDER ELEMENT HEAT WATER MAKE BUBBLE TURN STEAM
like when i was cooking my eggs before .	LIKE PT_PRO1 COOK EGG BEFORE
the element heats the water up and it bubbles and those bubbles become steam .	ELEMENT HEAT WATER BUBBLE BECOME STEAM
look the bubbles become steam .	LOOK BUBBLE BECOME STEAM
because it is hot careful .	BECAUSE HOT CAREFUL
well our breakfast is ready shall we eat .	BREAKFAST PT_POSS1 READY EAT
that was delicious .	TASTE GOOD FINISH
that was delicious .	TASTE GOOD FINISH
i think we have finished our breakfast .	PT_PRO1 THINK BREAKFAST PT_POSS1 FINISH
i need to go outside and wash the windows .	PT_PRO1 NEED GO OUTSIDE WINDOW WASH
would you like to help me .	PT_PRO2 HELP PT_PRO1 WANT
yes .	YES
let us go .	GO PT_PRO1PL
possum what happened .	NS_POSSUM WHAT HAPPEN
all the water in my bucket is gone .	WATER BUCKET PT_POSS1 ALL GONE
where did it go .	WHERE GO
i know it is very strange last night it rained but only in that one spot .	PT_PRO1 KNOW STRANGE VERY LAST-NIGHT RAIN ONLY PLACE THAT-ONE
nowhere else .	NOWHERE-ELSE
no possum it did not rain .	NOT NS_POSSUM RAIN
i filled this bucket up using the kitchen tap .	PT_PRO1 FILL BUCKET THIS TAP KITCHEN FROM
i needed to use the water to wash the windows .	PT_PRO1 NEED WATER USE WINDOW WASH
then i put it outside .	THEN PT_PRO1 PUT OUTSIDE
possum have you ever seen it rain in just one spot and nowhere else .	NS_POSSUM RAIN SPOT ONE ONLY PLACE THAT-ONE NEVER-SEE PT_PRO2
no i have not sally but i am a bit confused .	NO PT_PRO1 HAVE-NOT SALLY PT_PRO1 CONFUSED LITTLE
where does rain come from .	WHERE RAIN COME-FROM
i know remember we watched the kettle boiling and watched the bubbles bubble away .	PT_PRO1 KNOW REMEMBER PT_PRO1PL WATCH KETTLE BOIL WATCH BUBBLE BUBBLE AWAY
become steam .	BECOME STEAM
well the same principle applies out here when you have got the damp ground the moisture evaporates up into the air into the sky and they become clouds .	SAME PRINCIPLE APPLY HERE GROUND DAMP MOISTURE EVAPORATE UP-INTO AIR SKY BECOME CLOUD
when the clouds get heavy it rains .	CLOUD HEAVY RAIN
sally is it like a sponge .	SALLY LIKE SPONGE
yes that is like a cloud possum .	YES LIKE CLOUD POSSUM
sally i thought it had rained last night .	SALLY PT_PRO1 THINK RAIN YESTERDAY-NIGHT
it would be great to know how much rain we had .	GOOD KNOW HOW-MUCH RAIN PT_PRO1PL HAVE
well there is something that we can use .	WELL SOMETHING PT_PRO1PL CAN USE
it has called a rain gauge .	CALL RAIN-GAUGE
it can tell us how much rain there has been .	CAN TELL PT_PRO1PL HOW-MUCH RAIN HAVE-BEEN
it catches the water and you use the ruler on the side to measure how much rain has fallen .	CATCH WATER PT_PRO2 USE RULER SIDE MEASURE HOW-MUCH RAIN FALL
that would be great to see how much rain had fallen .	GOOD SEE HOW-MUCH RAIN FALL
would you like to make one possum .	PT_PRO2 LIKE MAKE ONE POSSUM
yes please .	YES PLEASE
let us go inside .	PT_PRO1PL GO INSIDE
look we have got everything we need to make a rain gauge .	LOOK PT_PRO1PL HAVE EVERYTHING NEED MAKE RAIN-GAUGE
that will tell us how much rain we get .	TELL PT_PRO1PL HOW-MUCH RAIN PT_PRO1PL GET
can you get the instructions out please .	PT_PRO2 GET INSTRUCTION OUT PLEASE
these are our instructions .	PT_DEM3 PT_POSS1PL INSTRUCTION
this will explain to us how to make our rain gauge .	PT_DEM3 EXPLAIN PT_PRO1PL HOW MAKE PT_POSS1PL RAIN GAUGE
we have all the things we need are you ready .	PT_POSS1PL HAVE ALL THING NEED PT_PRO2 READY
first we need to get the bottle .	FIRST PT_PRO1PL NEED GET BOTTLE
okay .	OKAY
now we will use a piece of paper to wrap around it .	NOW PT_PRO1PL WILL USE PAPER WRAP AROUND PT_DEM3
can you do that for me please .	PT_PRO2 CAN DO PT_DEM3 PT_PRO1 PLEASE
see we have our black line .	SEE PT_POSS1PL HAVE BLACK LINE
now we are going to cut the top off .	NOW PT_PRO1PL WILL CUT TOP OFF
i will start it because the knife is very sharp .	PT_PRO1 WILL START PT_DEM3 BECAUSE KNIFE VERY SHARP
but then you can cut it with the scissors .	BUT THEN PT_PRO2 CAN CUT PT_DEM3 SCISSORS
careful .	CAREFUL
just cut along the line .	JUST CUT ALONG LINE
good .	GOOD
great .	GREAT
that is great .	PT_DEM3 GREAT
now you can see it is uneven at the bottom .	NOW PT_PRO2 CAN SEE PT_DEM3 UNEVEN BOTTOM
it is got all these ridges .	PT_DEM3 HAVE ALL RIDGE
we need the bottom to be flat .	PT_PRO1PL NEED BOTTOM FLAT
so we are going to use plasticine .	NOW FUTURE USE PLASTICINE
can you break some bits off .	BREAK OFF SOME BITS QUESTION
put them in the bottom please .	PUT BOTTOM PLEASE
now it is nice and even .	NOW NICE EVEN
yeah it is even .	YEAH EVEN
now it is level .	NOW LEVEL
to measure the rain we will use a ruler .	MEASURE RAIN FUTURE USE RULER
can you find zero on that for me .	FIND ZERO PT_DET QUESTION
great we will put zero right on where the plasticene line is .	GREAT PUT ZERO RIGHT PT_LOC PLASTICINE LINE
can you please get some sticky tape so we can tape together .	GET STICKY-TAPE PLEASE SO TAPE TOGETHER QUESTION
that is great .	GREAT
now we need to add the lid .	NOW NEED ADD LID
no not like that possum .	NO NOT LIKE-THAT POSSUM
can you please take the lid off .	TAKE LID OFF PLEASE QUESTION
no the other way around .	NO OTHER WAY-AROUND
there you go .	GOOD THERE
this is to make sure that leaves and other things do not fall into the rain gauge .	MAKE-SURE LEAVES OTHER THINGS NOT FALL INTO RAIN-GAUGE
i think we are finished .	THINK FINISH
yeah we are finished .	YEAH FINISH
well there is one more thing we need to do .	ONE MORE THING NEED DO
that is to take it outside and wait for the rain to come .	PT_DEM3 TAKE OUTSIDE WAIT RAIN COME
yeah okay .	YES OKAY
just put it here possum .	PUT HERE PT_DEM3 POSSUM
good timing .	GOOD TIMING
it looks like it might rain soon .	LOOK RAIN MIGHT COME SOON
sally i thought it was strange it only rained in one spot and no where else .	NS_SALLY PT_PRO1 THINK STRANGE RAIN ONLY ONE-PLACE NOWHERE-ELSE
but now i will know how much it has rained .	NOW PT_PRO1 KNOW HOW-MUCH RAIN FALL
why do not we watch some children learning about the weather .	WHY NOT WATCH CHILDREN LEARN WEATHER
should we do that .	SHOULD PT_PRO1PL DO THAT
yeah let us watch .	YES LET WATCH
that was great .	PT_DEM3 GREAT
possum look it is starting to rain .	POSSUM LOOK RAIN START
wait .	WAIT
i was going to put it in my tree sally .	PT_PRO1 GO PUT TREE PT_POSS1 NS_SALLY
because i did not want it to get wet .	BECAUSE PT_PRO1 NOT-WANT WET
you are funny possum .	PT_PRO2 FUNNY POSSUM
i am just joking .	PT_PRO1 JOKE
well our time is up .	PT_POSS1PL TIME FINISH
thanks for watching .	THANKS WATCH
see you next time .	SEE PT_PRO2 NEXT-TIME
bye .	GOODBYE
bye .	GOODBYE
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 NS_POSSUM
hello .	HELLO
hi sally .	HELLO NS_SALLY
hi possum .	HELLO NS_POSSUM
hi everyone .	HELLO EVERYONE
hello everyone .	HELLO EVERYONE
sally that looks very heavy .	NS_SALLY PT_DEM3 LOOK HEAVY VERY
would you like a hand .	PT_PRO2 WANT HELP
yes please .	YES PLEASE
no possum i do not need you to pick it up .	NO NS_POSSUM PT_PRO1 NEED-NOT PT_PRO2 PICK-UP
it will be too hard and too heavy just leave it in the wheel barrow .	HARD VERY HEAVY VERY FUTURE LEAVE WHEELBARROW LOC
you see this bit here .	PT_PRO2 SEE PT_DEM3 PART HERE
that bit is made to hold heavy things .	PT_DEM3 PART MAKE HOLD HEAVY THING
you see how it is above the ground .	PT_PRO2 SEE HOW ABOVE GROUND
with that wheel underneath it that makes it easy to move .	WHEEL UNDERNEATH PT_DEM3 EASY MOVE
can i try sally .	PT_PRO1 TRY NS_SALLY
sure possum .	SURE NS_POSSUM
that is easy .	PT_DEM3 EASY
can you please wheel that over to the garden for me .	WHEEL PT_DEM3 GARDEN PT_PRO1 PLEASE
just pop it down next to the tomatoes please .	PUT-DOWN TOMATO BESIDE PLEASE
okay no worries .	OKAY NO-WORRY
hi possum .	HI NS_POSSUM
hi jay .	HI NS_JAY
jay come inside .	NS_JAY COME INSIDE
for that .	FOR PT_DEM3
okay bye jay .	OKAY BYE NS_JAY
bye jay .	BYE NS_JAY
bye jay see you .	BYE NS_JAY SEE PT_PRO2
it is a big box .	BOX BIG
it is very big .	BOX VERY BIG
delicious pizza .	PIZZA DELICIOUS
so much delicious fruit .	FRUIT DELICIOUS MANY
yes .	YES
i know .	PT_PRO1 KNOW
sally sally .	NS_SALLY NS_SALLY
what .	WHAT
there is a big box out there and i can not move it .	THERE BOX BIG PT_LOC AND PT_PRO1 CAN-NOT MOVE
i saw you wheeling the box away into the garden already .	PT_PRO2 WHEEL BOX GARDEN ALREADY
it is fine .	FINE
yeah the big heavy box i can not open it .	BOX BIG HEAVY PT_PRO1 CAN-NOT OPEN
the box was already open .	BOX OPEN ALREADY
you can just put the tree in and take the tree out .	PT_PRO2 PUT TREE IN TAKE TREE OUT
no no sally not the tree jay brought a big box .	NO NS_SALLY NOT TREE NS_JAY BRING BOX BIG
jay .	NS_JAY
what is he got to do with it .	WHAT DO-WITH PT_DEM3
yeah jay he brought a big heavy box .	YEAH NS_JAY BRING BOX BIG HEAVY
you mean the last time he came he brought that big box the one with the fridge in it .	LAST-TIME NS_JAY COME BRING BOX BIG FRIDGE INSIDE
no no sally you better come have a look come on .	NO NS_SALLY PT_PRO2 BETTER COME LOOK COME
come on quick .	COME QUICK
good .	GOOD
it is definitely a different box .	BOX DIFFERENT SURE
jay really was here .	NS_JAY HERE REALLY
what do you think is inside .	WHAT INSIDE
i was imagining all sorts of different things .	PT_PRO1 IMAGINE THING DIFFERENT MANY
but i really do not know .	BUT PT_PRO1 REALLY KNOW-NOT
it is locked .	LOCK
do you have the key .	PT_PRO2 HAVE KEY
nope .	NO
where are the instructions .	INSTRUCTION WHERE
i do not have them .	PT_PRO1 HAVE-NOT
look hi jay .	LOOK HI NS_JAY
hi jay .	HI NS_JAY
it is locked do you have the key .	LOCK PT_PRO2 HAVE KEY
an envelope .	ENVELOPE
let us see .	LET-US SEE
sally what does it say .	NS_SALLY WHAT SAY
it says dear possum .	SAY DEAR POSSUM
please enjoy this present that was mine when i was a little boy .	PLEASE ENJOY PRESENT BELONG-ME WHEN PT_PRO1 SMALL BOY
i hope you enjoy playing with it .	PT_PRO1 HOPE PT_PRO2 ENJOY PLAY
from your friend jay .	FROM FRIEND NS_JAY
thank you .	THANK-YOU
i know .	PT_PRO1 KNOW
what is it .	WHAT
what a great present .	PRESENT GREAT EXCELLENT
what is it .	WHAT PT_DEM3
i think it is a go kart .	PT_PRO1 THINK CART GO
it is something you can sit in it has wheels and you can steer it is that right .	SOMETHING SIT-IN WHEEL STEER RIGHT
yes wheels .	WHEEL
can we make it now sally .	MAKE NOW PT_PRO1 WANT HELP NS_SALLY
yes we can .	CAN
i will leave you two to make it and i will go inside and make some lunch .	PT_PRO1 LEAVE PT_PRO2PL MAKE PT_PRO1 GO INSIDE LUNCH MAKE
okay .	OKAY
there okay .	THERE OKAY
twist .	TWIST
okay .	OKAY
great .	GREAT
hi sally look .	HI NS_SALLY LOOK
lovely wheels .	WHEEL NICE
look where you sit .	LOOK SIT LOCATION
you can ride around and have so much fun .	RIDE AROUND FUN MUCH
like this morning sally with the wheel barrow and it is one wheel .	MORNING NS_SALLY BARROW-WHEEL ONE-WHEEL
this has wheels too .	WHEEL HAVE
i love wheels .	PT_PRO1 LOVE WHEEL
yes i know you love wheels possum .	YES PT_PRO1 KNOW PT_PRO2 LOVE WHEEL POSSUM
why do not we watch some children doing things with wheels .	WHY NOT-WATCH PT_PRO1PL CHILDREN DO WHEEL
shall we watch .	WATCH PT_PRO1PL
yeah let us watch .	YES WATCH PT_PRO1PL
that was great .	GREAT FINISH_GOOD
it was fantastic .	FANTASTIC
me can i sally .	PT_PRO1 CAN PT_PRO2 NS_SALLY
yes of course you can go on .	YES SURE PT_PRO2 CAN GO
good .	GOOD
hold on why do not you do two laps of the house .	WAIT WHY NOT-DO PT_PRO2 LAP-AROUND HOUSE TWO
great have fun .	GREAT ENJOY
that looked like lots of fun you must have enjoyed that .	LOOK-LIKE FUN LOTS PT_PRO2 MUST ENJOY FINISH
your energy must be low now would you like to eat some lunch .	PT_POSS2 ENERGY LOW NOW WANT EAT LUNCH
i will go and bring some lunch out .	PT_PRO1 GO BRING LUNCH OUT
well out time is up .	TIME FINISH
thanks for watching .	THANK WATCH
see you next time .	SEE PT_PRO2 NEXT TIME
bye .	BYE
bye .	BYE
hello .	HELLO
look .	LOOK
look！ .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 POSSUM
hello .	HELLO
hello .	HELLO
the queen looked out over the sea to the ship sailing away and called out to the captain of the boat .	QUEEN LOOK-OUT SEA PT_LOC SHIP SAIL-AWAY CALL-OUT CAPTAIN BOAT
captain blackbeard you saved yourself this time .	CAPTAIN NS_BLACKBEARD PT_PRO2 SAVE PT_REFL2 TIME-THIS
goodbye goodbye .	GOODBYE GOODBYE
the end .	END
one more story one more story .	STORY ONE-MORE STORY ONE-MORE
hello everyone .	HELLO EVERYONE
possum you have already had three stories .	POSSUM PT_PRO2 HAVE ALREADY STORY THREE
i need to go inside and make lunch .	PT_PRO1 NEED GO-INSIDE MAKE LUNCH
why do not you make up your own story .	WHY PT_PRO2 MAKE-UP STORY PT_POSS2 SELF
my own story .	STORY PT_POSS1 SELF
how would i start it .	HOW PT_PRO1 START
well you start it with something nice .	WELL PT_PRO2 START SOMETHING NICE
or something interesting that is just happened .	OR SOMETHING INTERESTING HAPPEN JUST
i know .	KNOW
sally was making lunch for possum .	NS_SALLY MAKE LUNCH POSSUM
well that is nice but it is not really a story is it .	WELL PT_DEM3 NICE BUT NOT REALLY STORY
you need a problem or something that happens that has to be solved .	PT_PRO2 NEED PROBLEM OR SOMETHING HAPPEN MUST SOLVE
that is a story .	PT_DEM3 STORY
i know .	PT_PRO1 KNOW
sally made lunch for possum but he was so hungry he ate it all so sally had to make more .	NS_SALLY MAKE LUNCH GIVE POSSUM BUT PT_PRO3 HUNGRY VERY EAT ALL SO NS_SALLY MAKE MORE MUST
well that is a bit better but can you think of something that does not involve food .	WELL PT_DEM3 BETTER BUT PT_PRO2 THINK SOMETHING FOOD NOT-INVOLVE
i know .	PT_PRO1 KNOW
can we tell a story about possum not being able to sleep .	PT_PRO1PL TELL STORY POSSUM SLEEP-NOT ABLE
well we could but possum why could not you sleep .	WELL PT_PRO1PL COULD BUT POSSUM WHY PT_PRO2 SLEEP-NOT
that is not right we know possums love to sleep .	PT_DEM3 RIGHT-NOT PT_PRO1PL KNOW POSSUM SLEEP LOVE
we never get restless .	PT_PRO1PL REST-LESS NEVER
that is true .	PT_DEM3 TRUE
why do not we think of something that has happened previously an event that has happened .	WHY PT_PRO1PL THINK SOMETHING HAPPEN BEFORE EVENT HAPPEN
you can start the story with once upon a time .	PT_PRO2 START STORY ONCE UPON TIME
i know .	PT_PRO1 KNOW
once upon a time possum had a best friend .	ONCE UPON TIME POSSUM BEST FRIEND HAVE
what did he look like .	PT_PRO3 LOOK LIKE WHAT
who me .	WHO PT_PRO1
no the possum is best friend .	NO POSSUM BEST FRIEND
he is not a man he is a girl .	PT_PRO3 MAN NOT PT_PRO3 GIRL
did she have curly hair .	HAVE HAIR CURLY PT_PRO3
yes .	YES
is that the same as us .	PT_DEM3 SAME PT_PRO1PL
yes it is sally but there is another character .	YES PT_PRO3 NS_SALLY BUT ANOTHER CHARACTER EXIST
okay ready .	READY
once upon a time jay came to visit and helped us make boats .	TIME-ONCE FUTURE_HISTORY JAY VISIT PT_PRO1PL HELP BOAT MAKE
yes i remember that day .	YES PT_PRO1 REMEMBER DAY PT_DEM3
that was a great day but your story is a bit short .	DAY PT_DEM3 GREAT BUT PT_POSS2 STORY SHORT BIT
i think there are more things that happened like the missing fridge .	PT_PRO1 THINK HAPPEN MORE THINGS FRIDGE MISSING
yeah that is right .	YES RIGHT PT_DEM3
why do not we go inside and i will make lunch .	WHY NOT INSIDE GO PT_PRO1 LUNCH MAKE
you can start thinking about your story .	PT_PRO2 STORY PT_POSS2 THINK START
okay .	OKAY
hey possum i was just thinking .	HEY NS_POSSUM PT_PRO1 THINK JUST
why do not we think about the day jay visited us and the events that happened on that day .	WHY NOT THINK DAY JAY VISIT PT_PRO1PL EVENT HAPPEN PT_DEM3 DAY
we will have to remember what happened first and then what happened after that .	PT_PRO1PL REMEMBER MUST HAPPEN FIRST THEN HAPPEN AFTER
what you could do is draw the pictures in a book .	PT_PRO2 CAN DO PICTURE BOOK DRAW
draw the pictures of the events that happened and we can write a story from that .	PICTURE DRAW EVENT HAPPEN PT_PRO1PL STORY WRITE PICTURE FROM
i have got your scrapbook .	PT_PRO1 SCRAPBOOK PT_POSS2 HAVE
possum before you start why do not we watch some children drawing some pictures and writing their stories .	NS_POSSUM START BEFORE WHY NOT WATCH CHILDREN PICTURE DRAW STORY WRITE
shall we watch .	WATCH-MOVIE, SHOULD-WE
that was great .	THAT GOOD FINISH
that is a great way to remember a story .	THAT GOOD WAY REMEMBER STORY
yes that is true .	YES THAT TRUE
sally we need to remember when jay visited us .	NS_SALLY REMEMBER WHEN NS_JAY VISIT PT_PRO1
i remember .	PT_PRO1 REMEMBER
one day i was asleep in my tree house .	ONE DAY PT_PRO1 SLEEP TREE-HOUSE
i woke up went out the front door and saw that jay had left a big box there for me .	PT_PRO1 WAKE-UP GO-OUT FRONT DOOR SEE THAT NS_JAY LEAVE BOX BIG PT_LOC PT_PRO1
yes that is a good story but at the time you did not know it was jay who would left the box there .	YES THAT GOOD STORY BUT TIME THAT PT_PRO2 KNOW-NOT NS_JAY LEAVE BOX
i need to think again .	PT_PRO1 THINK NEED AGAIN
one day i was asleep in my tree house .	ONE DAY PT_PRO1 SLEEP TREE-HOUSE
i woke up went out the front door and saw a giant box and it was heavy .	PT_PRO1 WAKE-UP GO-OUT FRONT DOOR SEE BOX GIANT HEAVY
yes that is a good story but that is just the start .	YES THAT GOOD STORY BUT THAT START ONLY
you need to remember the rest of the story .	PT_PRO2 REMEMBER NEED REST STORY
it is like when you make a sandwich .	LIKE SANDWICH MAKE WHEN
you start off with the bread and then you put the ingredients in the middle .	PT_PRO2 START BREAD PUT INGREDIENT MIDDLE
now what would you like on your sandwich .	NOW SANDWICH PT_POSS2 WHAT PUT-ON WANT
sally you can decide how to make the sandwich and i will make my story .	NS_SALLY SANDWICH MAKE HOW DECIDE CAN PT_PRO1 STORY PT_POSS1 MAKE WILL
okay then possum .	OKAY POSSUM
sally look .	NS_SALLY LOOK
that looks great .	PT_DEM3 LOOK-GOOD FINISH
that is the first of the events .	PT_DEM3 FIRST EVENT
what happened next .	HAPPEN NEXT WHAT
the box was very heavy but i am very strong so i lifted it up and i carried it all the way into my tree .	BOX HEAVY VERY BUT PT_PRO1 STRONG VERY SO PT_PRO1 LIFT-UP PT_DEM3 PT_PRO1 CARRY PT_DEM3 PT_LOC PT_POSS1 TREE
that is right possum why do not you draw that now .	PT_DEM3 RIGHT POSSUM WHY PT_PRO2 DRAW-NOT PT_DEM3 NOW
sally look .	NS_SALLY LOOK
possum that is a lovely picture .	NS_POSSUM PT_DEM3 PICTURE LOVELY
look at you big and strong lifting that heavy box but what happened next .	LOOK PT_PRO2 BIG STRONG LIFT PT_DEM3 BOX HEAVY BUT HAPPEN NEXT WHAT
well next i got a brand new fridge all to myself .	NEXT PT_PRO1 GET FRIDGE NEW PT_POSS1 ONLY
that was not your fridge that was mine possum .	PT_DEM3 FRIDGE PT_POSS2 NOT-BE PT_DEM3 FRIDGE PT_POSS1 NS_POSSUM
what happened next .	HAPPEN NEXT WHAT
i remember .	PT_PRO1 REMEMBER
you flashed the doorbell so i opened the door and came out and i saw you standing with a big man .	PT_PRO2 DOORBELL PRESS PT_PRO1 DOOR OPEN PT_PRO1 OUT COME PT_PRO1 SEE PT_PRO2 STAND BIG MAN WITH
his name was jay and you were both looking for a missing box .	NS_JAY NAME PT_PRO3 PT_PRO2 BOTH BOX MISSING LOOK-FOR
that is right possum .	PT_DEM3 RIGHT NS_POSSUM
so i brought the box out of my tree .	PT_PRO1 BOX PT_POSS1 TREE FROM OUT BRING
yes that is part of the story .	YES PT_DEM3 STORY PART
draw that now possum .	DRAW PT_DEM3 NOW NS_POSSUM
look sally .	LOOK NS_SALLY
that is such a lovely drawing possum .	PT_DEM3 DRAWING LOVELY SUCH NS_POSSUM
i really like that .	PT_DEM3 LIKE REALLY
now what happened next .	NOW WHAT HAPPEN NEXT
i remember .	REMEMBER
jay and i got the heavy fridge and put it into the kitchen and then he helped us make little boats .	NS_JAY PT_PRO1 GET HEAVY FRIDGE PUT KITCHEN THEN HELP MAKE BOAT SMALL
that is exactly right possum that is what happened .	PT_DEM3 CORRECT EXACT POSSUM PT_DEM3 WHAT HAPPEN
now you can draw that .	NOW PT_PRO2 CAN DRAW PT_DEM3
sally i am all finished .	NS_SALLY PT_PRO1 FINISH COMPLETE
what a beautiful drawing possum .	WHAT DRAW BEAUTIFUL POSSUM
that is great .	PT_DEM3 GREAT
yes i remember the whole story .	YES REMEMBER STORY WHOLE
that is great .	PT_DEM3 GREAT
my visitor is here let us see .	PT_POSS1 VISITOR HERE COME LOOK
hello possum .	HELLO POSSUM
hello possum .	HELLO POSSUM
he is daydreaming .	DAYDREAM
i have an idea .	PT_PRO1 IDEA HAVE
roll it up into a straw and blow in his ear .	ROLL UP STRAW BLOW EAR
this will be fun watch this .	NOW FUN WATCH
it is jay .	NS_JAY
yes he is here .	YES HERE
jay it is you look jay .	NS_JAY PT_PRO2 LOOK NS_JAY
do you remember .	REMEMBER PT_PRO2
this is you .	PT_DEM3 PT_PRO2
what about this .	PT_DEM3 WHAT
i am very strong .	PT_PRO1 STRONG VERY
hold on hold on .	HOLD-ON HOLD-ON
i have just finished making lunch .	PT_PRO1 FINISH MAKE LUNCH RECENTLY
would you like some .	PT_PRO2 WANT SOME
well our time is up .	TIME FINISH
thanks for watching .	THANK PT_PRO2 WATCH
see you next time .	SEE PT_PRO2 NEXT TIME
bye .	BYE
bye .	BYE
jay look .	NS_JAY LOOK
what about this .	PT_DEM3 WHAT
this is me .	PT_DEM3 PT_PRO1
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 POSSUM
hello .	HELLO
hello .	HELLO
hello everyone .	HELLO EVERYONE
i am just off the cheque my letterbox to see if there is any mail in there .	PT_PRO1 LETTERBOX CHECK MAIL HAVE-NOT
hello possum .	HELLO POSSUM
hi sally .	HELLO NS_SALLY
hello sally .	HELLO NS_SALLY
hello possum .	HELLO POSSUM
you came down very quickly .	PT_PRO2 COME-DOWN FAST
well i am a possum and we are very fast climbers .	PT_PRO1 POSSUM FAST CLIMB
it was easy .	EASY
yes that is true .	TRUE
what were you doing up there .	PT_PRO2 UP-THERE DO-WHAT
i was just up there enjoying the beautiful view and watching those beautiful clever birds flying around .	PT_PRO1 UP-THERE VIEW BEAUTIFUL WATCH BIRD BEAUTIFUL CLEVER FLY AROUND
they are so clever watching them use their wings and flying around .	BIRD CLEVER WATCH WING FLY AROUND
i wish i could be like a bird and fly .	PT_PRO1 WISH BIRD LIKE-THAT FLY
i know .	PT_PRO1 KNOW
that means this letter flew here .	LETTER FLY ARRIVE
it flew here .	FLY ARRIVE
yes .	YES
no .	NO
it can not fly .	FLY-NOT
it means the person who wrote it posted it and put it into a bag and then put it on an airplane .	PERSON WRITE GIVE POST PUT BAG PUT AIRPLANE
then the plane lands the bag is unloaded and the letter is delivered to my letterbox .	PLANE LAND BAG UNLOAD LETTER DELIVER PT_POSS1 LETTERBOX
i get it now .	UNDERSTAND NOW
the paper is like me .	PAPER LIKE PT_PRO1
