clip,predicted_glosses,predicted_with_confidence,ground_truth
video_13_154,PT_PRO2 SEE NOW PT_PRO1PL PT_DEM3 NEED MAKE NS_POSSUM,PT_PRO2(0.87) SEE(0.84) NOW(0.74) PT_PRO1PL(0.64) PT_DEM3(0.64) NEED(0.55) MAKE(0.51) NS_POSSUM(0.50),YES
video_14_43_1,HELLO EVERYONE BYE,HELLO(0.98) EVERYONE(0.74) BYE(0.56),NS_SALLY
video_14_54,PT_PRO1PL NOW HAVE CAN PT_PRO2 NEED PT_PRO1 MAKE PT_DEM3 NS_POSSUM PT_PRO3 WHAT SEE GET DO WILL,PT_PRO1PL(0.69) NOW(0.65) HAVE(0.65) CAN(0.63) PT_PRO2(0.63) NEED(0.61) PT_PRO1(0.60) MAKE(0.60) PT_DEM3(0.60) NS_POSSUM(0.53) PT_PRO3(0.52) WHAT(0.51) SEE(0.51) GET(0.50) DO(0.49) WILL(0.47),DIFFERENT HAVE MANY PT_DEM3
video_14_63,GREAT YES RIGHT PT_DEM3 LOOK LOVELY OKAY OK WHAT NS_SALLY GOOD,GREAT(0.78) YES(0.78) RIGHT(0.74) PT_DEM3(0.69) LOOK(0.61) LOVELY(0.58) OKAY(0.57) OK(0.57) WHAT(0.55) NS_SALLY(0.46) GOOD(0.46),PT_DEM3
video_15_15,HELLO NS_SALLY LOOK BYE NS_POSSUM,HELLO(0.89) NS_SALLY(0.78) LOOK(0.76) BYE(0.70) NS_POSSUM(0.48),READY
video_15_42,GREAT WATCH THANK-YOU FINISH PT_PRO1PL PT_DEM3,GREAT(0.79) WATCH(0.73) THANK-YOU(0.73) FINISH(0.55) PT_PRO1PL(0.51) PT_DEM3(0.46),GET
video_15_51,YES NS_POSSUM PT_DEM3 RIGHT PT_PRO1 GREAT PT_PRO2,YES(0.82) NS_POSSUM(0.77) PT_DEM3(0.61) RIGHT(0.58) PT_PRO1(0.55) GREAT(0.53) PT_PRO2(0.49),PT_PRO3 YES
video_15_64,GREAT PT_DEM3 LOOK NS_POSSUM GOOD YES WHAT NS_SKIP NS_SALLY RIGHT,GREAT(0.76) PT_DEM3(0.66) LOOK(0.62) NS_POSSUM(0.58) GOOD(0.55) YES(0.51) WHAT(0.51) NS_SKIP(0.49) NS_SALLY(0.47) RIGHT(0.46),PT_PRO1 PT_PRO2
video_15_65,GREAT WHAT READY NS_SALLY PT_DEM3 PT_PRO1 PT_PRO2 NS_POSSUM GOOD,GREAT(0.64) WHAT(0.57) READY(0.57) NS_SALLY(0.55) PT_DEM3(0.53) PT_PRO1(0.52) PT_PRO2(0.49) NS_POSSUM(0.49) GOOD(0.48),GREAT NS_POSSUM
video_15_97,GREAT GOOD PT_DEM3 NOW READY RIGHT LOOK PT_PRO1PL PT_PRO2 NS_POSSUM YES THANK-YOU,GREAT(0.85) GOOD(0.69) PT_DEM3(0.68) NOW(0.54) READY(0.53) RIGHT(0.52) LOOK(0.52) PT_PRO1PL(0.48) PT_PRO2(0.48) NS_POSSUM(0.46) YES(0.45) THANK-YOU(0.45),HERE
video_15_118,GREAT GOOD PT_DEM3 PT_PRO1PL YES LOOK,GREAT(0.75) GOOD(0.62) PT_DEM3(0.57) PT_PRO1PL(0.50) YES(0.48) LOOK(0.46),WATCH
video_15_125,YES OK OKAY RIGHT LOOK GREAT GOOD,YES(0.98) OK(0.80) OKAY(0.75) RIGHT(0.67) LOOK(0.62) GREAT(0.56) GOOD(0.47),GOOD
video_15_132,SEE PT_PRO2 GREAT PT_DEM3 NS_POSSUM RIGHT PT_PRO1PL PT_POSS1,SEE(0.71) PT_PRO2(0.70) GREAT(0.69) PT_DEM3(0.59) NS_POSSUM(0.52) RIGHT(0.48) PT_PRO1PL(0.47) PT_POSS1(0.45),PT_PRO2 WANT
video_15_138,NS_SALLY PT_PRO1 PT_DEM3 WHAT PT_PRO2 NO WHERE YES,NS_SALLY(0.86) PT_PRO1(0.70) PT_DEM3(0.68) WHAT(0.62) PT_PRO2(0.60) NO(0.51) WHERE(0.47) YES(0.46),NS_SALLY THANK-YOU
video_15_143,PT_PRO1 PT_POSS1 MAKE NS_SALLY MANY CAN HAVE LEARN BUT TREE PT_PRO1PL LOVE THING GO DIFFERENT PT_PRO3PL PT_PRO3 SEE NOW PUT PT_DEM3,PT_PRO1(0.82) PT_POSS1(0.77) MAKE(0.74) NS_SALLY(0.70) MANY(0.63) CAN(0.62) HAVE(0.61) LEARN(0.58) BUT(0.58) TREE(0.54) PT_PRO1PL(0.54) LOVE(0.51) THING(0.49) GO(0.49) DIFFERENT(0.48) PT_PRO3PL(0.48) PT_PRO3(0.48) SEE(0.48) NOW(0.46) PUT(0.46) PT_DEM3(0.45),GREAT HAVE PT_PRO1PL YES
video_16_15,PT_PRO1 PT_PRO2 CAN PT_PRO1PL NS_POSSUM MAKE HAVE NOW GO NEED PT_DEM3 PT_PRO3 GET SEE WANT PT_POSS1,PT_PRO1(0.72) PT_PRO2(0.68) CAN(0.64) PT_PRO1PL(0.63) NS_POSSUM(0.62) MAKE(0.61) HAVE(0.60) NOW(0.60) GO(0.58) NEED(0.57) PT_DEM3(0.56) PT_PRO3(0.56) GET(0.50) SEE(0.50) WANT(0.46) PT_POSS1(0.46),HELP KNOW NS_POSSUM PT_PRO1 WANT
video_16_30,NS_POSSUM GO PT_PRO2 PT_PRO3 WANT YES PT_DEM3 SEE GREAT PT_PRO1 PT_PRO1PL WHERE LOOK,NS_POSSUM(0.79) GO(0.76) PT_PRO2(0.75) PT_PRO3(0.71) WANT(0.61) YES(0.60) PT_DEM3(0.57) SEE(0.54) GREAT(0.53) PT_PRO1(0.53) PT_PRO1PL(0.49) WHERE(0.47) LOOK(0.46),NS_POSSUM PT_PRO2
video_16_72,HELLO BYE EVERYONE NS_SALLY,HELLO(0.94) BYE(0.91) EVERYONE(0.78) NS_SALLY(0.64),COME GO PT_PRO1PL
video_16_124,NOW NEED PLEASE PT_DEM3 PT_PRO1PL PT_PRO2 MAKE CAN PUT GET GREAT HAVE WHAT GOOD,NOW(0.90) NEED(0.83) PLEASE(0.74) PT_DEM3(0.74) PT_PRO1PL(0.70) PT_PRO2(0.68) MAKE(0.65) CAN(0.65) PUT(0.63) GET(0.53) GREAT(0.49) HAVE(0.48) WHAT(0.48) GOOD(0.47),CAN PLEASE PT_DEM3 PT_PRO2
video_16_150,GREAT YES WATCH PT_DEM3 THANK-YOU PT_PRO2 PT_PRO1PL RIGHT LOOK NS_POSSUM WILL OKAY CAN WHAT,GREAT(0.69) YES(0.65) WATCH(0.58) PT_DEM3(0.58) THANK-YOU(0.54) PT_PRO2(0.52) PT_PRO1PL(0.51) RIGHT(0.50) LOOK(0.50) NS_POSSUM(0.48) WILL(0.47) OKAY(0.47) CAN(0.46) WHAT(0.45),PT_PRO3 PUT
video_16_161,SEE PT_PRO2 PT_DEM3 NS_POSSUM,SEE(0.92) PT_PRO2(0.91) PT_DEM3(0.49) NS_POSSUM(0.47),PT_DEM3 PT_PRO2 WANT WHAT
video_16_174,GREAT NS_SALLY PT_DEM3 OKAY RIGHT THANK-YOU YES OK LOOK WATCH PT_PRO1PL GOOD,GREAT(0.79) NS_SALLY(0.68) PT_DEM3(0.65) OKAY(0.58) RIGHT(0.57) THANK-YOU(0.57) YES(0.57) OK(0.54) LOOK(0.53) WATCH(0.52) PT_PRO1PL(0.52) GOOD(0.49),LOOK PT_PRO1
video_17_43,YES GREAT LOOK GOOD NS_SALLY OK,YES(0.72) GREAT(0.70) LOOK(0.63) GOOD(0.56) NS_SALLY(0.53) OK(0.45),PT_DEM3 WHAT
video_17_90,YES RIGHT PT_DEM3 GREAT NS_POSSUM LOOK,YES(0.90) RIGHT(0.76) PT_DEM3(0.68) GREAT(0.62) NS_POSSUM(0.59) LOOK(0.55),GREAT LOOK
video_17_119,GREAT YES RIGHT OKAY PT_DEM3 OK WHAT LOOK,GREAT(0.87) YES(0.74) RIGHT(0.71) OKAY(0.71) PT_DEM3(0.68) OK(0.66) WHAT(0.57) LOOK(0.56),HAVE NS_POSSUM PT_DEM3 PT_PRO2
video_18_94,YES GREAT PT_DEM3 LOOK RIGHT WHAT,YES(0.73) GREAT(0.66) PT_DEM3(0.66) LOOK(0.63) RIGHT(0.56) WHAT(0.49),PT_DEM3 RIGHT
video_18_110,YES RIGHT GREAT,YES(0.96) RIGHT(0.50) GREAT(0.45),PT_DEM3 RIGHT YES
video_18_115,YES WHAT,YES(0.98) WHAT(0.70),YES
video_18_121,NS_SALLY PT_PRO1 PT_POSS1 PT_DEM3 PT_PRO2 GO CAN HAVE PT_POSS2 PT_PRO3 PT_PRO1PL KNOW TREE NS_POSSUM,NS_SALLY(0.82) PT_PRO1(0.75) PT_POSS1(0.65) PT_DEM3(0.59) PT_PRO2(0.56) GO(0.54) CAN(0.54) HAVE(0.52) PT_POSS2(0.50) PT_PRO3(0.50) PT_PRO1PL(0.49) KNOW(0.49) TREE(0.46) NS_POSSUM(0.45),NS_SALLY PT_PRO1 SAME SOMETHING
video_18_157,NS_SALLY HELLO THANK-YOU COME LOOK NS_POSSUM BYE GREAT OK,NS_SALLY(0.82) HELLO(0.77) THANK-YOU(0.71) COME(0.63) LOOK(0.62) NS_POSSUM(0.56) BYE(0.54) GREAT(0.50) OK(0.49),LOOK NS_SALLY
video_18_164,NS_SALLY PT_PRO1 MAKE BUT PT_POSS1 CAN HAVE KNOW PT_DEM3 LIKE PT_PRO2 PT_PRO3PL SEE GO NOW,NS_SALLY(0.93) PT_PRO1(0.85) MAKE(0.75) BUT(0.68) PT_POSS1(0.66) CAN(0.61) HAVE(0.54) KNOW(0.54) PT_DEM3(0.50) LIKE(0.50) PT_PRO2(0.48) PT_PRO3PL(0.48) SEE(0.46) GO(0.46) NOW(0.45),DIFFERENT NS_SALLY PT_PRO1
video_19_9,GREAT GO HELLO NS_POSSUM BYE PT_DEM3 NS_SALLY PT_PRO1PL LOOK NS_SKIP PT_PRO1,GREAT(0.66) GO(0.64) HELLO(0.64) NS_POSSUM(0.55) BYE(0.55) PT_DEM3(0.55) NS_SALLY(0.52) PT_PRO1PL(0.50) LOOK(0.48) NS_SKIP(0.47) PT_PRO1(0.47),LOOK THAT
video_19_26,NS_POSSUM PT_PRO2 PT_PRO1 PT_PRO1PL PT_POSS1 MAKE HAVE CAN NOW PT_DEM3 NEED VERY PT_PRO3 PT_POSS2 GO NOT GET,NS_POSSUM(0.73) PT_PRO2(0.69) PT_PRO1(0.66) PT_PRO1PL(0.65) PT_POSS1(0.64) MAKE(0.62) HAVE(0.57) CAN(0.55) NOW(0.55) PT_DEM3(0.55) NEED(0.50) VERY(0.50) PT_PRO3(0.50) PT_POSS2(0.48) GO(0.47) NOT(0.46) GET(0.45),LOVELY
video_19_33,NS_SALLY PT_PRO1,NS_SALLY(0.80) PT_PRO1(0.58),DIFFERENT LOOK MANY
video_19_45,NS_POSSUM PT_PRO1 PT_PRO2 HAVE PT_DEM3 PT_POSS1 NOT NO SEE PT_PRO3 KNOW YES VERY BUT PT_PRO1PL THINK GO CAN,NS_POSSUM(0.79) PT_PRO1(0.68) PT_PRO2(0.66) HAVE(0.64) PT_DEM3(0.62) PT_POSS1(0.59) NOT(0.56) NO(0.56) SEE(0.54) PT_PRO3(0.54) KNOW(0.52) YES(0.51) VERY(0.50) BUT(0.49) PT_PRO1PL(0.49) THINK(0.46) GO(0.45) CAN(0.45),NO NS_POSSUM PT_PRO1 PT_PRO2
video_19_88,NOW PT_DEM3 NEED PT_PRO2 PUT PLEASE PT_PRO1PL LOVELY LOOK WHAT RIGHT CAN NS_POSSUM GREAT GOOD MAKE,NOW(0.85) PT_DEM3(0.79) NEED(0.74) PT_PRO2(0.68) PUT(0.68) PLEASE(0.67) PT_PRO1PL(0.62) LOVELY(0.61) LOOK(0.58) WHAT(0.57) RIGHT(0.54) CAN(0.54) NS_POSSUM(0.53) GREAT(0.52) GOOD(0.49) MAKE(0.46),DO NS_POSSUM THAT WANT
video_19_90,GREAT PT_DEM3 RIGHT GOOD YES OKAY OK WHAT LOOK,GREAT(0.92) PT_DEM3(0.73) RIGHT(0.70) GOOD(0.69) YES(0.62) OKAY(0.61) OK(0.58) WHAT(0.52) LOOK(0.51),OKAY
video_19_106,GREAT PT_DEM3 RIGHT YES LOOK GOOD PT_PRO1PL WHAT NOW NS_SALLY OKAY PT_PRO2,GREAT(0.74) PT_DEM3(0.72) RIGHT(0.62) YES(0.59) LOOK(0.59) GOOD(0.50) PT_PRO1PL(0.50) WHAT(0.50) NOW(0.47) NS_SALLY(0.46) OKAY(0.46) PT_PRO2(0.46),PUT
video_19_111,HAVE PT_POSS1 PT_PRO1PL PT_PRO2 PT_DEM3 PT_PRO1 SEE NOW NS_POSSUM CAN PT_PRO3 VERY,HAVE(0.65) PT_POSS1(0.61) PT_PRO1PL(0.61) PT_PRO2(0.60) PT_DEM3(0.59) PT_PRO1(0.57) SEE(0.57) NOW(0.55) NS_POSSUM(0.55) CAN(0.49) PT_PRO3(0.47) VERY(0.46),PT_DEM3
video_19_121,NOW NEED PLEASE PT_PRO1PL MAKE PT_PRO2 PT_DEM3 CAN GET HAVE SEE PUT USE NS_POSSUM ALL,NOW(0.91) NEED(0.87) PLEASE(0.82) PT_PRO1PL(0.80) MAKE(0.75) PT_PRO2(0.73) PT_DEM3(0.70) CAN(0.65) GET(0.63) HAVE(0.61) SEE(0.55) PUT(0.54) USE(0.52) NS_POSSUM(0.51) ALL(0.47),PT_DEM3
video_19_132,PT_DEM3 NOW PT_PRO2 NS_POSSUM GREAT PT_PRO1PL RIGHT YES LOOK NEED LOVELY PT_PRO1 GOOD CAN WHAT,PT_DEM3(0.70) NOW(0.69) PT_PRO2(0.67) NS_POSSUM(0.65) GREAT(0.58) PT_PRO1PL(0.56) RIGHT(0.55) YES(0.52) LOOK(0.50) NEED(0.49) LOVELY(0.49) PT_PRO1(0.48) GOOD(0.46) CAN(0.46) WHAT(0.46),FINISH LOOK PT_DEM3 PT_PRO1 THINK
video_19_149,PT_PRO2 CAN NS_POSSUM LOOK PT_PRO1 PT_DEM3 PT_PRO3 SEE WHAT HAVE NOW PT_PRO1PL GO GREAT PT_LOC COME DO,PT_PRO2(0.71) CAN(0.68) NS_POSSUM(0.64) LOOK(0.62) PT_PRO1(0.62) PT_DEM3(0.61) PT_PRO3(0.60) SEE(0.58) WHAT(0.56) HAVE(0.56) NOW(0.55) PT_PRO1PL(0.54) GO(0.50) GREAT(0.49) PT_LOC(0.48) COME(0.47) DO(0.46),KNOW PT_PRO1 PT_PRO2
video_20_17,PT_POSS1 HAVE PT_PRO1 PT_PRO1PL PT_PRO2 PT_DEM3 SEE NS_POSSUM KNOW PT_PRO3 CAN NOW VERY PT_PRO3PL,PT_POSS1(0.65) HAVE(0.63) PT_PRO1(0.62) PT_PRO1PL(0.58) PT_PRO2(0.58) PT_DEM3(0.56) SEE(0.56) NS_POSSUM(0.54) KNOW(0.53) PT_PRO3(0.51) CAN(0.47) NOW(0.46) VERY(0.46) PT_PRO3PL(0.45),DIFFERENT PT_LOC
video_20_89,NS_SALLY LOOK HELLO PT_DEM3 NS_POSSUM PT_LOC HERE GREAT,NS_SALLY(0.81) LOOK(0.71) HELLO(0.64) PT_DEM3(0.62) NS_POSSUM(0.58) PT_LOC(0.57) HERE(0.56) GREAT(0.54),HELLO NS_SALLY
video_20_113,NS_SALLY PT_DEM3 GREAT LOOK CAN WHAT PT_PRO2 THANK-YOU NOW PT_PRO1,NS_SALLY(0.74) PT_DEM3(0.66) GREAT(0.66) LOOK(0.62) CAN(0.56) WHAT(0.54) PT_PRO2(0.53) THANK-YOU(0.49) NOW(0.48) PT_PRO1(0.48),NS_SALLY THANK-YOU
video_20_114,PT_DEM3 GREAT RIGHT NOW LOOK WHAT YES PT_PRO2 LOVELY PUT GOOD,PT_DEM3(0.78) GREAT(0.76) RIGHT(0.67) NOW(0.67) LOOK(0.67) WHAT(0.65) YES(0.59) PT_PRO2(0.58) LOVELY(0.51) PUT(0.49) GOOD(0.48),WHAT
video_20_120,NS_POSSUM PT_PRO2 PT_PRO1 PT_DEM3 NS_SALLY PT_POSS1 LOOK HAVE PT_PRO3 CAN GO PT_PRO1PL SEE PT_LOC PT_POSS2 NOW WHAT,NS_POSSUM(0.71) PT_PRO2(0.68) PT_PRO1(0.65) PT_DEM3(0.61) NS_SALLY(0.60) PT_POSS1(0.59) LOOK(0.58) HAVE(0.57) PT_PRO3(0.55) CAN(0.54) GO(0.53) PT_PRO1PL(0.52) SEE(0.51) PT_LOC(0.49) PT_POSS2(0.49) NOW(0.48) WHAT(0.47),MUCH NS_POSSUM PT_PRO2
video_20_124,PT_PRO2 CAN PT_PRO1 NOW PT_PRO1PL MAKE BUT NS_SALLY HAVE PT_DEM3 NS_POSSUM SEE PT_POSS1 GO LOOK PT_LOC PT_PRO3 NEED TREE PT_POSS2 GET ALL HERE THEN ONE PUT,PT_PRO2(0.71) CAN(0.69) PT_PRO1(0.67) NOW(0.66) PT_PRO1PL(0.66) MAKE(0.64) BUT(0.64) NS_SALLY(0.62) HAVE(0.61) PT_DEM3(0.59) NS_POSSUM(0.58) SEE(0.58) PT_POSS1(0.57) GO(0.57) LOOK(0.56) PT_LOC(0.54) PT_PRO3(0.54) NEED(0.54) TREE(0.53) PT_POSS2(0.52) GET(0.50) ALL(0.48) HERE(0.48) THEN(0.47) ONE(0.47) PUT(0.47),LOOK PT_PRO1 PT_PRO2
video_21_3,NS_SALLY PT_PRO1,NS_SALLY(1.00) PT_PRO1(1.00),NS_SALLY PT_PRO1
video_21_43,GREAT OKAY PT_DEM3 LOOK GOOD OK RIGHT PT_PRO1PL,GREAT(0.86) OKAY(0.74) PT_DEM3(0.66) LOOK(0.65) GOOD(0.65) OK(0.60) RIGHT(0.51) PT_PRO1PL(0.49),PT_DEM3
video_21_78,PT_PRO2 GREAT PT_DEM3 RIGHT CAN YES WHAT LOVELY WANT NOW PT_PRO1PL LOOK DO NS_POSSUM OKAY PT_PRO1 OK NS_SALLY,PT_PRO2(0.66) GREAT(0.65) PT_DEM3(0.65) RIGHT(0.65) CAN(0.64) YES(0.64) WHAT(0.55) LOVELY(0.54) WANT(0.53) NOW(0.53) PT_PRO1PL(0.51) LOOK(0.51) DO(0.49) NS_POSSUM(0.49) OKAY(0.48) PT_PRO1(0.47) OK(0.46) NS_SALLY(0.46),PT_PRO1 PUT
video_21_102,PT_PRO2 CAN NS_POSSUM PT_DEM3 HAVE PT_PRO1 PT_PRO3 NOW PT_PRO1PL SEE NEED WILL GET MAKE WHAT,PT_PRO2(0.77) CAN(0.73) NS_POSSUM(0.70) PT_DEM3(0.63) HAVE(0.62) PT_PRO1(0.62) PT_PRO3(0.61) NOW(0.60) PT_PRO1PL(0.59) SEE(0.58) NEED(0.50) WILL(0.50) GET(0.48) MAKE(0.48) WHAT(0.46),THAT USE
video_21_113,NOW NEED PT_PRO1PL MAKE PT_PRO2 PT_DEM3 NS_POSSUM CAN PT_PRO1 HAVE GET PLEASE,NOW(0.80) NEED(0.77) PT_PRO1PL(0.71) MAKE(0.70) PT_PRO2(0.68) PT_DEM3(0.65) NS_POSSUM(0.60) CAN(0.59) PT_PRO1(0.57) HAVE(0.57) GET(0.53) PLEASE(0.51),HAVE NEED PT_PRO1 THINK
video_21_118,NS_SALLY GREAT PT_DEM3 WHAT YES RIGHT OKAY GOOD WHERE PT_PRO1 OK,NS_SALLY(0.78) GREAT(0.76) PT_DEM3(0.67) WHAT(0.62) YES(0.57) RIGHT(0.57) OKAY(0.53) GOOD(0.48) WHERE(0.47) PT_PRO1(0.47) OK(0.46),HOW WHAT
video_21_130,NOW PT_DEM3 PT_PRO2 PT_PRO1PL GREAT PLEASE NS_POSSUM NEED CAN WHAT LOOK PUT,NOW(0.81) PT_DEM3(0.73) PT_PRO2(0.69) PT_PRO1PL(0.63) GREAT(0.62) PLEASE(0.59) NS_POSSUM(0.56) NEED(0.54) CAN(0.49) WHAT(0.49) LOOK(0.47) PUT(0.47),PLEASE PT_PRO3PL PUT
video_21_133,NOW NEED PT_DEM3 PT_PRO1PL GOOD MAKE HAVE WHAT PT_PRO2 PUT,NOW(0.85) NEED(0.77) PT_DEM3(0.74) PT_PRO1PL(0.69) GOOD(0.66) MAKE(0.65) HAVE(0.59) WHAT(0.55) PT_PRO2(0.51) PUT(0.51),NEED
video_21_155,YES NS_POSSUM PT_PRO2 PT_DEM3 GREAT RIGHT PT_PRO1 PT_PRO3 LOOK WILL WHAT,YES(0.78) NS_POSSUM(0.68) PT_PRO2(0.63) PT_DEM3(0.62) GREAT(0.61) RIGHT(0.61) PT_PRO1(0.53) PT_PRO3(0.53) LOOK(0.47) WILL(0.47) WHAT(0.46),NS_POSSUM RIGHT
video_21_163,YES RIGHT GREAT PT_DEM3 PT_PRO2 WHAT NS_POSSUM GOOD LOVELY OK,YES(0.78) RIGHT(0.75) GREAT(0.73) PT_DEM3(0.71) PT_PRO2(0.62) WHAT(0.56) NS_POSSUM(0.54) GOOD(0.53) LOVELY(0.53) OK(0.45),LOOK VERY
video_22_16,NS_POSSUM YES PT_DEM3 LOOK GREAT PT_PRO2 NS_SALLY HERE RIGHT PT_PRO1,NS_POSSUM(0.74) YES(0.72) PT_DEM3(0.61) LOOK(0.57) GREAT(0.55) PT_PRO2(0.54) NS_SALLY(0.53) HERE(0.46) RIGHT(0.46) PT_PRO1(0.45),NS_SALLY PT_PRO2
video_22_21,YES NS_POSSUM PT_DEM3 PT_PRO3 GREAT PT_PRO2 WHAT RIGHT PT_PRO1 HAVE DO SEE CAN LOOK WILL,YES(0.67) NS_POSSUM(0.65) PT_DEM3(0.65) PT_PRO3(0.62) GREAT(0.59) PT_PRO2(0.59) WHAT(0.58) RIGHT(0.56) PT_PRO1(0.55) HAVE(0.52) DO(0.52) SEE(0.49) CAN(0.49) LOOK(0.46) WILL(0.45),GOOD PT_DEM3 THANK-YOU
video_22_42,CAN PT_PRO2 MAKE PT_PRO1 PT_PRO1PL NEED NOW GET HAVE NS_POSSUM GO PT_POSS2 PT_DEM3 PT_PRO3 WANT PLEASE SEE HELP WILL,CAN(0.76) PT_PRO2(0.75) MAKE(0.74) PT_PRO1(0.71) PT_PRO1PL(0.70) NEED(0.69) NOW(0.69) GET(0.65) HAVE(0.59) NS_POSSUM(0.58) GO(0.58) PT_POSS2(0.57) PT_DEM3(0.56) PT_PRO3(0.54) WANT(0.53) PLEASE(0.51) SEE(0.49) HELP(0.47) WILL(0.47),NEED NOT PT_PRO1 PT_PRO2
video_22_51,NS_SALLY PT_PRO1 MAKE BUT CAN PT_PRO2 WHAT HOW PT_DEM3 KNOW NOW HAVE LIKE GO PT_POSS1 GET WANT VERY WHY NEED,NS_SALLY(0.90) PT_PRO1(0.79) MAKE(0.73) BUT(0.70) CAN(0.65) PT_PRO2(0.65) WHAT(0.62) HOW(0.58) PT_DEM3(0.58) KNOW(0.56) NOW(0.54) HAVE(0.53) LIKE(0.51) GO(0.50) PT_POSS1(0.50) GET(0.49) WANT(0.48) VERY(0.47) WHY(0.45) NEED(0.45),MAKE NEED NOW NS_POSSUM TREE
video_22_59,GREAT OKAY YES GOOD LOOK OK RIGHT PT_DEM3,GREAT(0.90) OKAY(0.79) YES(0.77) GOOD(0.74) LOOK(0.73) OK(0.71) RIGHT(0.64) PT_DEM3(0.58),ALL LOOK
video_22_60,PT_PRO1 PT_DEM3 PT_PRO2 NS_POSSUM PT_PRO1PL NOW CAN HAVE PT_PRO3 MAKE WHAT GOOD RIGHT NEED GREAT,PT_PRO1(0.65) PT_DEM3(0.64) PT_PRO2(0.64) NS_POSSUM(0.62) PT_PRO1PL(0.59) NOW(0.58) CAN(0.57) HAVE(0.56) PT_PRO3(0.52) MAKE(0.51) WHAT(0.50) GOOD(0.49) RIGHT(0.48) NEED(0.47) GREAT(0.47),MANY YES
video_22_113,YES GREAT PT_DEM3 RIGHT NS_POSSUM PT_PRO1 PT_PRO2 NO PT_PRO3 WHAT KNOW HAVE DO,YES(0.70) GREAT(0.67) PT_DEM3(0.64) RIGHT(0.61) NS_POSSUM(0.60) PT_PRO1(0.55) PT_PRO2(0.55) NO(0.48) PT_PRO3(0.48) WHAT(0.47) KNOW(0.47) HAVE(0.46) DO(0.46),KNOW PT_PRO3 WILL
video_22_120,GREAT GOOD OKAY OK YES RIGHT PT_DEM3 WATCH LOOK,GREAT(0.94) GOOD(0.80) OKAY(0.77) OK(0.74) YES(0.66) RIGHT(0.66) PT_DEM3(0.56) WATCH(0.55) LOOK(0.53),LOVELY PT_DEM3
video_22_165,PT_DEM3 NOW LOOK NS_SALLY PT_PRO2 CAN PLEASE WHAT PT_LOC PT_PRO1PL GREAT HAVE,PT_DEM3(0.76) NOW(0.74) LOOK(0.72) NS_SALLY(0.64) PT_PRO2(0.63) CAN(0.59) PLEASE(0.58) WHAT(0.56) PT_LOC(0.56) PT_PRO1PL(0.54) GREAT(0.54) HAVE(0.45),LOVELY PT_PRO2 SEE TWO
video_22_189,GREAT PT_DEM3 LOOK NOW OKAY GOOD OK RIGHT NS_SALLY,GREAT(0.82) PT_DEM3(0.70) LOOK(0.62) NOW(0.57) OKAY(0.56) GOOD(0.53) OK(0.53) RIGHT(0.48) NS_SALLY(0.47),NS_POSSUM PT_PRO2
video_22_194,GREAT PT_PRO1PL PT_DEM3 RIGHT GOOD YES NS_SALLY NOW PT_PRO2 NS_POSSUM,GREAT(0.74) PT_PRO1PL(0.60) PT_DEM3(0.60) RIGHT(0.49) GOOD(0.49) YES(0.49) NS_SALLY(0.48) NOW(0.47) PT_PRO2(0.47) NS_POSSUM(0.46),BYE
video_22_218,SEE PT_PRO2 TIME PT_POSS1 WELL,SEE(1.00) PT_PRO2(0.97) TIME(0.74) PT_POSS1(0.62) WELL(0.48),PT_PRO1PL WELL
video_22_222,NS_POSSUM GREAT PT_PRO2 GO HERE PT_PRO1PL NS_SALLY PT_DEM3 THANK-YOU PT_PRO1 PT_PRO3 NOW COME HELLO READY WILL,NS_POSSUM(0.72) GREAT(0.65) PT_PRO2(0.62) GO(0.61) HERE(0.58) PT_PRO1PL(0.57) NS_SALLY(0.55) PT_DEM3(0.55) THANK-YOU(0.52) PT_PRO1(0.52) PT_PRO3(0.51) NOW(0.49) COME(0.47) HELLO(0.47) READY(0.46) WILL(0.45),LOOK NS_SALLY
video_23_5,HELLO,HELLO(1.00),HELLO
video_23_18,GREAT GOOD OKAY PT_DEM3 LOOK OK WHAT RIGHT,GREAT(0.87) GOOD(0.71) OKAY(0.60) PT_DEM3(0.59) LOOK(0.57) OK(0.54) WHAT(0.51) RIGHT(0.49),NO PT_PRO1
video_23_25,NS_POSSUM PT_POSS1 PT_PRO2 PT_PRO1 PT_DEM3 NOW PT_PRO1PL NEED NOT MAKE NO HAVE,NS_POSSUM(0.77) PT_POSS1(0.69) PT_PRO2(0.68) PT_PRO1(0.63) PT_DEM3(0.60) NOW(0.57) PT_PRO1PL(0.56) NEED(0.56) NOT(0.51) MAKE(0.51) NO(0.50) HAVE(0.48),ALL PT_POSS2 THING TREE
video_23_47,GREAT PT_DEM3 NS_SALLY LOOK OKAY RIGHT WHAT OK GOOD YES,GREAT(0.74) PT_DEM3(0.65) NS_SALLY(0.60) LOOK(0.56) OKAY(0.55) RIGHT(0.54) WHAT(0.50) OK(0.50) GOOD(0.49) YES(0.49),MANY PT_DEM3 PT_LOC
video_23_50,GOOD GREAT WHAT READY,GOOD(0.82) GREAT(0.70) WHAT(0.56) READY(0.54),NS_POSSUM
